method: org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm.updateData2:1153650079
$r11(1944612669) -> $r11(551504190) 
$r14(1944612669) -> $r14(551504190) 
$r15(1944612669) -> $r15(551504190) 
$r16(1944612669) -> $r16(551504190) 
$r17(1944612669) -> $r17(551504190) 
$r18(1944612669) -> $r18(551504190) 
$r19(1944612669) -> $r19(551504190) 
0(551504190) -> 0(379805723) 
this(551504190) -> this(379805723) 
bestActiveNode(551504190) -> bestActiveNode(379805723) 
par(551504190) -> par(379805723) 
textDiff(551504190) -> textDiff(379805723) 
$r0(551504190) -> $r0(379805723) 
$r1(551504190) -> $r1(379805723) 
$r3(551504190) -> $r3(379805723) 
$r4(551504190) -> $r4(379805723) 
$r5(551504190) -> $r5(379805723) 
$r6(551504190) -> $r6(379805723) 
$r7(551504190) -> $r7(379805723) 
$r8(551504190) -> $r8(379805723) 
$r9(551504190) -> $r9(379805723) 
$r10(551504190) -> $r10(379805723) 
$r11(551504190) -> $r11(379805723) 
$r14(551504190) -> $r14(379805723) 
$r15(551504190) -> $r15(379805723) 
$r16(551504190) -> $r16(379805723) 
$r17(551504190) -> $r17(379805723) 
$r18(551504190) -> $r18(379805723) 
$r19(551504190) -> $r19(379805723) 
0(653454583) -> 0(379805723) 
this(653454583) -> this(379805723) 
bestActiveNode(653454583) -> bestActiveNode(379805723) 
par(653454583) -> par(379805723) 
textDiff(653454583) -> textDiff(379805723) 
$r0(653454583) -> $r0(379805723) 
$r1(653454583) -> $r1(379805723) 
$r3(653454583) -> $r3(379805723) 
$r4(653454583) -> $r4(379805723) 
$r5(653454583) -> $r5(379805723) 
$r6(653454583) -> $r6(379805723) 
$r7(653454583) -> $r7(379805723) 
$r8(653454583) -> $r8(379805723) 
$r9(653454583) -> $r9(379805723) 
$r10(653454583) -> $r10(379805723) 
$r11(653454583) -> $r11(379805723) 
$r14(653454583) -> $r14(379805723) 
$r15(653454583) -> $r15(379805723) 
$r16(653454583) -> $r16(379805723) 
$r17(653454583) -> $r17(379805723) 
$r18(653454583) -> $r18(379805723) 
$r19(653454583) -> $r19(379805723) 
0(379805723) -> 0(2059932966) 
this(379805723) -> this(2059932966) 
bestActiveNode(379805723) -> bestActiveNode(2059932966) 
par(379805723) -> par(2059932966) 
textDiff(379805723) -> textDiff(2059932966) 
$r0(379805723) -> $r0(2059932966) 
$r1(379805723) -> $r1(2059932966) 
$r3(379805723) -> $r3(2059932966) 
$r4(379805723) -> $r4(2059932966) 
$r5(379805723) -> $r5(2059932966) 
$r6(379805723) -> $r6(2059932966) 
$r7(379805723) -> $r7(2059932966) 
$r8(379805723) -> $r8(2059932966) 
$r9(379805723) -> $r9(2059932966) 
$r10(379805723) -> $r10(2059932966) 
$r11(379805723) -> $r11(2059932966) 
$r14(379805723) -> $r14(2059932966) 
$r15(379805723) -> $r15(2059932966) 
$r16(379805723) -> $r16(2059932966) 
$r17(379805723) -> $r17(2059932966) 
$r18(379805723) -> $r18(2059932966) 
$r19(379805723) -> $r19(2059932966) 
0(2059932966) -> 0(1745986019) 
this(2059932966) -> this(1745986019) 
bestActiveNode(2059932966) -> bestActiveNode(1745986019) 
par(2059932966) -> par(1745986019) 
textDiff(2059932966) -> textDiff(1745986019) 
$r0(2059932966) -> $r0(1745986019) 
$r1(2059932966) -> $r1(1745986019) 
$r3(2059932966) -> $r3(1745986019) 
$r4(2059932966) -> $r4(1745986019) 
$r5(2059932966) -> $r5(1745986019) 
$r6(2059932966) -> $r6(1745986019) 
$r7(2059932966) -> $r7(1745986019) 
$r8(2059932966) -> $r8(1745986019) 
$r9(2059932966) -> $r9(1745986019) 
$r10(2059932966) -> $r10(1745986019) 
$r11(2059932966) -> $r11(1745986019) 
$r14(2059932966) -> $r14(1745986019) 
$r15(2059932966) -> $r15(1745986019) 
$r16(2059932966) -> $r16(1745986019) 
$r17(2059932966) -> $r17(1745986019) 
$r18(2059932966) -> $r18(1745986019) 
$r19(2059932966) -> $r19(1745986019) 
0(2059932966) -> 0(1019196654) 
this(2059932966) -> this(1019196654) 
bestActiveNode(2059932966) -> bestActiveNode(1019196654) 
par(2059932966) -> par(1019196654) 
textDiff(2059932966) -> textDiff(1019196654) 
$r0(2059932966) -> $r0(1019196654) 
$r1(2059932966) -> $r1(1019196654) 
$r3(2059932966) -> $r3(1019196654) 
$r4(2059932966) -> $r4(1019196654) 
$r5(2059932966) -> $r5(1019196654) 
$r6(2059932966) -> $r6(1019196654) 
$r7(2059932966) -> $r7(1019196654) 
$r8(2059932966) -> $r8(1019196654) 
$r9(2059932966) -> $r9(1019196654) 
$r10(2059932966) -> $r10(1019196654) 
$r11(2059932966) -> $r11(1019196654) 
$r14(2059932966) -> $r14(1019196654) 
$r15(2059932966) -> $r15(1019196654) 
$r16(2059932966) -> $r16(1019196654) 
$r17(2059932966) -> $r17(1019196654) 
$r18(2059932966) -> $r18(1019196654) 
$r19(2059932966) -> $r19(1019196654) 
0(1019196654) -> 0(1308595306) 
this(1019196654) -> this(1308595306) 
bestActiveNode(1019196654) -> bestActiveNode(1308595306) 
par(1019196654) -> par(1308595306) 
textDiff(1019196654) -> textDiff(1308595306) 
$r0(1019196654) -> $r0(1308595306) 
$r1(1019196654) -> $r1(1308595306) 
$r3(1019196654) -> $r3(1308595306) 
$r4(1019196654) -> $r4(1308595306) 
$r5(1019196654) -> $r5(1308595306) 
$r6(1019196654) -> $r6(1308595306) 
$r7(1019196654) -> $r7(1308595306) 
$r8(1019196654) -> $r8(1308595306) 
$r9(1019196654) -> $r9(1308595306) 
$r10(1019196654) -> $r10(1308595306) 
$r11(1019196654) -> $r11(1308595306) 
$r14(1019196654) -> $r14(1308595306) 
$r15(1019196654) -> $r15(1308595306) 
$r16(1019196654) -> $r16(1308595306) 
$r17(1019196654) -> $r17(1308595306) 
$r18(1019196654) -> $r18(1308595306) 
$r19(1019196654) -> $r19(1308595306) 
0(1308595306) -> 0(1938965561) 
this(1308595306) -> this(1938965561) 
bestActiveNode(1308595306) -> bestActiveNode(1938965561) 
par(1308595306) -> par(1938965561) 
textDiff(1308595306) -> textDiff(1938965561) 
$r0(1308595306) -> $r0(1938965561) 
$r1(1308595306) -> $r1(1938965561) 
$r3(1308595306) -> $r3(1938965561) 
$r4(1308595306) -> $r4(1938965561) 
$r5(1308595306) -> $r5(1938965561) 
$r6(1308595306) -> $r6(1938965561) 
$r7(1308595306) -> $r7(1938965561) 
$r8(1308595306) -> $r8(1938965561) 
$r9(1308595306) -> $r9(1938965561) 
$r10(1308595306) -> $r10(1938965561) 
$r11(1308595306) -> $r11(1938965561) 
$r14(1308595306) -> $r14(1938965561) 
$r15(1308595306) -> $r15(1938965561) 
$r16(1308595306) -> $r16(1938965561) 
$r17(1308595306) -> $r17(1938965561) 
$r18(1308595306) -> $r18(1938965561) 
$r19(1308595306) -> $r19(1938965561) 
0(1745986019) -> 0(933121171) 
this(1745986019) -> this(933121171) 
bestActiveNode(1745986019) -> bestActiveNode(933121171) 
par(1745986019) -> par(933121171) 
textDiff(1745986019) -> textDiff(933121171) 
$r0(1745986019) -> $r0(933121171) 
$r1(1745986019) -> $r1(933121171) 
$r3(1745986019) -> $r3(933121171) 
$r4(1745986019) -> $r4(933121171) 
$r5(1745986019) -> $r5(933121171) 
$r6(1745986019) -> $r6(933121171) 
$r7(1745986019) -> $r7(933121171) 
$r8(1745986019) -> $r8(933121171) 
$r9(1745986019) -> $r9(933121171) 
$r10(1745986019) -> $r10(933121171) 
$r11(1745986019) -> $r11(933121171) 
$r14(1745986019) -> $r14(933121171) 
$r15(1745986019) -> $r15(933121171) 
$r16(1745986019) -> $r16(933121171) 
$r17(1745986019) -> $r17(933121171) 
$r18(1745986019) -> $r18(933121171) 
$r19(1745986019) -> $r19(933121171) 
0(1745986019) -> 0(1570468725) 
this(1745986019) -> this(1570468725) 
bestActiveNode(1745986019) -> bestActiveNode(1570468725) 
par(1745986019) -> par(1570468725) 
textDiff(1745986019) -> textDiff(1570468725) 
$r0(1745986019) -> $r0(1570468725) 
$r1(1745986019) -> $r1(1570468725) 
$r3(1745986019) -> $r3(1570468725) 
$r4(1745986019) -> $r4(1570468725) 
$r5(1745986019) -> $r5(1570468725) 
$r6(1745986019) -> $r6(1570468725) 
$r7(1745986019) -> $r7(1570468725) 
$r8(1745986019) -> $r8(1570468725) 
$r9(1745986019) -> $r9(1570468725) 
$r10(1745986019) -> $r10(1570468725) 
$r11(1745986019) -> $r11(1570468725) 
$r14(1745986019) -> $r14(1570468725) 
$r15(1745986019) -> $r15(1570468725) 
$r16(1745986019) -> $r16(1570468725) 
$r17(1745986019) -> $r17(1570468725) 
$r18(1745986019) -> $r18(1570468725) 
$r19(1745986019) -> $r19(1570468725) 
0(1570468725) -> 0(146355798) 
this(1570468725) -> this(146355798) 
bestActiveNode(1570468725) -> bestActiveNode(146355798) 
par(1570468725) -> par(146355798) 
textDiff(1570468725) -> textDiff(146355798) 
$r0(1570468725) -> $r0(146355798) 
$r1(1570468725) -> $r1(146355798) 
$r3(1570468725) -> $r3(146355798) 
$r4(1570468725) -> $r4(146355798) 
$r5(1570468725) -> $r5(146355798) 
$r6(1570468725) -> $r6(146355798) 
$r7(1570468725) -> $r7(146355798) 
$r8(1570468725) -> $r8(146355798) 
$r9(1570468725) -> $r9(146355798) 
$r10(1570468725) -> $r10(146355798) 
$r11(1570468725) -> $r11(146355798) 
$r14(1570468725) -> $r14(146355798) 
$r15(1570468725) -> $r15(146355798) 
$r16(1570468725) -> $r16(146355798) 
$r17(1570468725) -> $r17(146355798) 
$r18(1570468725) -> $r18(146355798) 
$r19(1570468725) -> $r19(146355798) 
0(146355798) -> 0(1938965561) 
this(146355798) -> this(1938965561) 
bestActiveNode(146355798) -> bestActiveNode(1938965561) 
par(146355798) -> par(1938965561) 
textDiff(146355798) -> textDiff(1938965561) 
$r0(146355798) -> $r0(1938965561) 
$r1(146355798) -> $r1(1938965561) 
$r3(146355798) -> $r3(1938965561) 
$r4(146355798) -> $r4(1938965561) 
$r5(146355798) -> $r5(1938965561) 
$r6(146355798) -> $r6(1938965561) 
$r7(146355798) -> $r7(1938965561) 
$r8(146355798) -> $r8(1938965561) 
$r9(146355798) -> $r9(1938965561) 
$r10(146355798) -> $r10(1938965561) 
$r11(146355798) -> $r11(1938965561) 
$r14(146355798) -> $r14(1938965561) 
$r15(146355798) -> $r15(1938965561) 
$r16(146355798) -> $r16(1938965561) 
$r17(146355798) -> $r17(1938965561) 
$r18(146355798) -> $r18(1938965561) 
$r19(146355798) -> $r19(1938965561) 
0(933121171) -> 0(1938965561) 
this(933121171) -> this(1938965561) 
bestActiveNode(933121171) -> bestActiveNode(1938965561) 
par(933121171) -> par(1938965561) 
textDiff(933121171) -> textDiff(1938965561) 
$r0(933121171) -> $r0(1938965561) 
$r1(933121171) -> $r1(1938965561) 
$r3(933121171) -> $r3(1938965561) 
$r4(933121171) -> $r4(1938965561) 
$r5(933121171) -> $r5(1938965561) 
$r6(933121171) -> $r6(1938965561) 
$r7(933121171) -> $r7(1938965561) 
$r8(933121171) -> $r8(1938965561) 
$r9(933121171) -> $r9(1938965561) 
$r10(933121171) -> $r10(1938965561) 
$r11(933121171) -> $r11(1938965561) 
$r14(933121171) -> $r14(1938965561) 
$r15(933121171) -> $r15(1938965561) 
$r16(933121171) -> $r16(1938965561) 
$r17(933121171) -> $r17(1938965561) 
$r18(933121171) -> $r18(1938965561) 
$r19(933121171) -> $r19(1938965561) 
0(1938965561) -> 0(129840502) 
this(1938965561) -> this(129840502) 
bestActiveNode(1938965561) -> bestActiveNode(129840502) 
par(1938965561) -> par(129840502) 
textDiff(1938965561) -> textDiff(129840502) 
$r0(1938965561) -> $r0(129840502) 
$r1(1938965561) -> $r1(129840502) 
$r3(1938965561) -> $r3(129840502) 
$r4(1938965561) -> $r4(129840502) 
$r5(1938965561) -> $r5(129840502) 
$r6(1938965561) -> $r6(129840502) 
$r7(1938965561) -> $r7(129840502) 
$r8(1938965561) -> $r8(129840502) 
$r9(1938965561) -> $r9(129840502) 
$r10(1938965561) -> $r10(129840502) 
$r11(1938965561) -> $r11(129840502) 
$r14(1938965561) -> $r14(129840502) 
$r15(1938965561) -> $r15(129840502) 
$r16(1938965561) -> $r16(129840502) 
$r17(1938965561) -> $r17(129840502) 
$r18(1938965561) -> $r18(129840502) 
$r19(1938965561) -> $r19(129840502) 
0(129840502) -> 0(954509994) 
this(129840502) -> this(954509994) 
bestActiveNode(129840502) -> bestActiveNode(954509994) 
par(129840502) -> par(954509994) 
textDiff(129840502) -> textDiff(954509994) 
$r0(129840502) -> $r0(954509994) 
$r1(129840502) -> $r1(954509994) 
$r3(129840502) -> $r3(954509994) 
$r4(129840502) -> $r4(954509994) 
$r5(129840502) -> $r5(954509994) 
$r6(129840502) -> $r6(954509994) 
$r7(129840502) -> $r7(954509994) 
$r8(129840502) -> $r8(954509994) 
$r9(129840502) -> $r9(954509994) 
$r10(129840502) -> $r10(954509994) 
$r11(129840502) -> $r11(954509994) 
$r14(129840502) -> $r14(954509994) 
$r15(129840502) -> $r15(954509994) 
$r16(129840502) -> $r16(954509994) 
$r17(129840502) -> $r17(954509994) 
$r18(129840502) -> $r18(954509994) 
$r19(129840502) -> $r19(954509994) 
0(954509994) -> 0(797375455) 
this(954509994) -> this(797375455) 
bestActiveNode(954509994) -> bestActiveNode(797375455) 
par(954509994) -> par(797375455) 
textDiff(954509994) -> textDiff(797375455) 
$r0(954509994) -> $r0(797375455) 
$r1(954509994) -> $r1(797375455) 
$r3(954509994) -> $r3(797375455) 
$r4(954509994) -> $r4(797375455) 
$r5(954509994) -> $r5(797375455) 
$r6(954509994) -> $r6(797375455) 
$r7(954509994) -> $r7(797375455) 
$r8(954509994) -> $r8(797375455) 
$r9(954509994) -> $r9(797375455) 
$r10(954509994) -> $r10(797375455) 
$r11(954509994) -> $r11(797375455) 
$r14(954509994) -> $r14(797375455) 
$r15(954509994) -> $r15(797375455) 
$r16(954509994) -> $r16(797375455) 
$r17(954509994) -> $r17(797375455) 
$r18(954509994) -> $r18(797375455) 
$r19(954509994) -> $r19(797375455) 
0(797375455) -> 0(1142293679) 
this(797375455) -> this(1142293679) 
bestActiveNode(797375455) -> bestActiveNode(1142293679) 
par(797375455) -> par(1142293679) 
textDiff(797375455) -> textDiff(1142293679) 
$r0(797375455) -> $r0(1142293679) 
$r1(797375455) -> $r1(1142293679) 
$r3(797375455) -> $r3(1142293679) 
$r4(797375455) -> $r4(1142293679) 
$r5(797375455) -> $r5(1142293679) 
$r6(797375455) -> $r6(1142293679) 
$r7(797375455) -> $r7(1142293679) 
$r8(797375455) -> $r8(1142293679) 
$r9(797375455) -> $r9(1142293679) 
$r10(797375455) -> $r10(1142293679) 
$r11(797375455) -> $r11(1142293679) 
$r14(797375455) -> $r14(1142293679) 
$r15(797375455) -> $r15(1142293679) 
$r16(797375455) -> $r16(1142293679) 
$r17(797375455) -> $r17(1142293679) 
$r18(797375455) -> $r18(1142293679) 
$r19(797375455) -> $r19(1142293679) 
0(797375455) -> 0(1439567354) 
this(797375455) -> this(1439567354) 
bestActiveNode(797375455) -> bestActiveNode(1439567354) 
par(797375455) -> par(1439567354) 
textDiff(797375455) -> textDiff(1439567354) 
$r0(797375455) -> $r0(1439567354) 
$r1(797375455) -> $r1(1439567354) 
$r3(797375455) -> $r3(1439567354) 
$r4(797375455) -> $r4(1439567354) 
$r5(797375455) -> $r5(1439567354) 
$r6(797375455) -> $r6(1439567354) 
$r7(797375455) -> $r7(1439567354) 
$r8(797375455) -> $r8(1439567354) 
$r9(797375455) -> $r9(1439567354) 
$r10(797375455) -> $r10(1439567354) 
$r11(797375455) -> $r11(1439567354) 
$r14(797375455) -> $r14(1439567354) 
$r15(797375455) -> $r15(1439567354) 
$r16(797375455) -> $r16(1439567354) 
$r17(797375455) -> $r17(1439567354) 
$r18(797375455) -> $r18(1439567354) 
$r19(797375455) -> $r19(1439567354) 
0(1439567354) -> 0(1257751576) 
this(1439567354) -> this(1257751576) 
bestActiveNode(1439567354) -> bestActiveNode(1257751576) 
par(1439567354) -> par(1257751576) 
textDiff(1439567354) -> textDiff(1257751576) 
$r0(1439567354) -> $r0(1257751576) 
$r1(1439567354) -> $r1(1257751576) 
$r3(1439567354) -> $r3(1257751576) 
$r4(1439567354) -> $r4(1257751576) 
$r5(1439567354) -> $r5(1257751576) 
$r6(1439567354) -> $r6(1257751576) 
$r7(1439567354) -> $r7(1257751576) 
$r8(1439567354) -> $r8(1257751576) 
$r9(1439567354) -> $r9(1257751576) 
$r10(1439567354) -> $r10(1257751576) 
$r11(1439567354) -> $r11(1257751576) 
$r14(1439567354) -> $r14(1257751576) 
$r15(1439567354) -> $r15(1257751576) 
$r16(1439567354) -> $r16(1257751576) 
$r17(1439567354) -> $r17(1257751576) 
$r18(1439567354) -> $r18(1257751576) 
$r19(1439567354) -> $r19(1257751576) 
0(1257751576) -> 0(1142293679) 
this(1257751576) -> this(1142293679) 
bestActiveNode(1257751576) -> bestActiveNode(1142293679) 
par(1257751576) -> par(1142293679) 
textDiff(1257751576) -> textDiff(1142293679) 
$r0(1257751576) -> $r0(1142293679) 
$r1(1257751576) -> $r1(1142293679) 
$r3(1257751576) -> $r3(1142293679) 
$r4(1257751576) -> $r4(1142293679) 
$r5(1257751576) -> $r5(1142293679) 
$r6(1257751576) -> $r6(1142293679) 
$r7(1257751576) -> $r7(1142293679) 
$r8(1257751576) -> $r8(1142293679) 
$r9(1257751576) -> $r9(1142293679) 
$r10(1257751576) -> $r10(1142293679) 
$r11(1257751576) -> $r11(1142293679) 
$r14(1257751576) -> $r14(1142293679) 
$r15(1257751576) -> $r15(1142293679) 
$r16(1257751576) -> $r16(1142293679) 
$r17(1257751576) -> $r17(1142293679) 
$r18(1257751576) -> $r18(1142293679) 
$r19(1257751576) -> $r19(1142293679) 
0(1257751576) -> 0(731479004) 
this(1257751576) -> this(731479004) 
bestActiveNode(1257751576) -> bestActiveNode(731479004) 
par(1257751576) -> par(731479004) 
