method: org.apache.fop.fonts.truetype.TTFSubSetFile.createPrep:295273231
873146 -> 873154
873147 -> 873155
873148 -> 873156
873149 -> 873157
873150 -> 873158
873151 -> 873159
873152 -> 873160
873153 -> 873161
873154 -> 873162
873155 -> 873163
873156 -> 873164
873157 -> 873165
873158 -> 873166
873159 -> 873167
873160 -> 873168
873161 -> 873169
873162 -> 873170
873163 -> 873171
873164 -> 873172
873165 -> 873173
873166 -> 873174
873167 -> 873175
873168 -> 873176
873169 -> 873177
873170 -> 873178
873171 -> 873179
873172 -> 873180
873173 -> 873181
873174 -> 873182
873175 -> 873183
873176 -> 873184
873177 -> 873185
873178 -> 873186
873179 -> 873187
873180 -> 873188
873181 -> 873189
873182 -> 873190
873183 -> 873191
873184 -> 873192
873185 -> 873193
873186 -> 873194
873187 -> 873195
873188 -> 873196
873189 -> 873197
873190 -> 873198
873191 -> 873199
873192 -> 873200
873193 -> 873201
873194 -> 873202
873195 -> 873203
873196 -> 873204
873197 -> 873205
873198 -> 873206
873199 -> 873207
873200 -> 873208
873201 -> 873209
873202 -> 873210
873203 -> 873211
873204 -> 873212
873205 -> 873213
873206 -> 873214
873207 -> 873215
873208 -> 873216
873209 -> 873217
873210 -> 873218
873211 -> 873219
873212 -> 873220
873213 -> 873221
873214 -> 873222
873215 -> 873223
873216 -> 873224
873217 -> 873225
873218 -> 873226
873219 -> 873227
873220 -> 873228
873221 -> 873229
873222 -> 873230
873223 -> 873231
873224 -> 873232
873225 -> 873233
873226 -> 873234
873227 -> 873235
873228 -> 873236
873229 -> 873237
873230 -> 873238
873231 -> 873239
873232 -> 873240
873233 -> 873241
873234 -> 873242
873235 -> 873243
873236 -> 873244
873237 -> 873245
873238 -> 873246
873239 -> 873247
873240 -> 873248
873241 -> 873249
873242 -> 873250
873243 -> 873251
873244 -> 873252
873245 -> 873253
873246 -> 873254
873247 -> 873255
873248 -> 873256
873249 -> 873257
873250 -> 873258
873251 -> 873259
873252 -> 873260
873253 -> 873261
873254 -> 873262
873255 -> 873263
873256 -> 873264
873257 -> 873265
873258 -> 873266
873259 -> 873267
873260 -> 873268
873261 -> 873269
873262 -> 873270
873263 -> 873271
873264 -> 873272
873265 -> 873273
873266 -> 873274
873267 -> 873275
873268 -> 873276
873269 -> 873277
873270 -> 873278
873271 -> 873279
873272 -> 873280
873273 -> 873281
873274 -> 873282
873275 -> 873283
873276 -> 873284
873277 -> 873285
873278 -> 873286
873279 -> 873287
873280 -> 873288
873281 -> 873289
873282 -> 873290
873283 -> 873291
873284 -> 873292
873285 -> 873293
873286 -> 873294
873287 -> 873295
873288 -> 873296
873289 -> 873297
873290 -> 873298
873291 -> 873299
873292 -> 873300
873293 -> 873301
873294 -> 873302
873295 -> 873303
873296 -> 873304
873297 -> 873305
873298 -> 873306
873299 -> 873307
873300 -> 873308
873301 -> 873309
873302 -> 873310
873303 -> 873311
873304 -> 873312
873305 -> 873313
873306 -> 873314
873307 -> 873315
873308 -> 873316
873309 -> 873317
873310 -> 873318
873311 -> 873319
873312 -> 873320
873313 -> 873321
873314 -> 873322
873315 -> 873323
873316 -> 873324
873317 -> 873325
873318 -> 873326
873319 -> 873327
873320 -> 873328
873321 -> 873329
873322 -> 873330
873323 -> 873331
873324 -> 873332
873325 -> 873333
873326 -> 873334
873327 -> 873335
873328 -> 873336
873329 -> 873337
873330 -> 873338
873331 -> 873339
873332 -> 873340
873333 -> 873341
873334 -> 873342
873335 -> 873343
873336 -> 873344
873337 -> 873345
873338 -> 873346
873339 -> 873347
873340 -> 873348
873341 -> 873349
873342 -> 873350
873343 -> 873351
873344 -> 873352
873345 -> 873353
873346 -> 873354
873347 -> 873355
873348 -> 873356
873349 -> 873357
873350 -> 873358
873351 -> 873359
873352 -> 873360
873353 -> 873361
873354 -> 873362
873355 -> 873363
873356 -> 873364
873357 -> 873365
873358 -> 873366
873359 -> 873367
873360 -> 873368
873361 -> 873369
873362 -> 873370
873363 -> 873371
873364 -> 873372
873365 -> 873373
873366 -> 873374
873367 -> 873375
873368 -> 873376
873369 -> 873377
873370 -> 873378
873371 -> 873379
873372 -> 873380
873373 -> 873381
873374 -> 873382
873375 -> 873383
873376 -> 873384
873377 -> 873385
873378 -> 873386
873379 -> 873387
873380 -> 873388
873381 -> 873389
873382 -> 873390
873383 -> 873391
873384 -> 873392
873385 -> 873393
873386 -> 873394
873387 -> 873395
873388 -> 873396
873389 -> 873397
873390 -> 873398
873391 -> 873399
873392 -> 873400
873393 -> 873401
873394 -> 873402
873395 -> 873403
873396 -> 873404
873397 -> 873405
873398 -> 873406
873399 -> 873407
873400 -> 873408
873401 -> 873409
873402 -> 873410
873403 -> 873411
873404 -> 873412
873405 -> 873413
873406 -> 873414
873407 -> 873415
873408 -> 873416
873409 -> 873417
873410 -> 873418
873403 -> 873419
873027 -> 873411
873028 -> 873412
873029 -> 873413
873030 -> 873414
873031 -> 873415
873032 -> 873416
873033 -> 873417
873034 -> 873418
873027 -> 873419
