method: org.apache.fop.layoutmgr.list.ListBlockLayoutManager.notifyPadding:1955316953
$r3(667487488) -> $r3(7638888) 
0(7638888) -> 0(2123750632) 
this(7638888) -> this(2123750632) 
side(7638888) -> side(2123750632) 
effectiveLength(7638888) -> effectiveLength(2123750632) 
$r0(7638888) -> $r0(2123750632) 
$r1(7638888) -> $r1(2123750632) 
$r2(7638888) -> $r2(2123750632) 
$r3(7638888) -> $r3(2123750632) 
0(920093176) -> 0(2123750632) 
this(920093176) -> this(2123750632) 
side(920093176) -> side(2123750632) 
effectiveLength(920093176) -> effectiveLength(2123750632) 
$r0(920093176) -> $r0(2123750632) 
$r1(920093176) -> $r1(2123750632) 
$r2(920093176) -> $r2(2123750632) 
$r3(920093176) -> $r3(2123750632) 
0(2123750632) -> 0(551175237) 
this(2123750632) -> this(551175237) 
side(2123750632) -> side(551175237) 
effectiveLength(2123750632) -> effectiveLength(551175237) 
$r0(2123750632) -> $r0(551175237) 
$r1(2123750632) -> $r1(551175237) 
$r2(2123750632) -> $r2(551175237) 
$r3(2123750632) -> $r3(551175237) 
0(551175237) -> 0(-551175237) 
this(551175237) -> this(-551175237) 
side(551175237) -> side(-551175237) 
effectiveLength(551175237) -> effectiveLength(-551175237) 
$r0(551175237) -> $r0(-551175237) 
$r1(551175237) -> $r1(-551175237) 
$r2(551175237) -> $r2(-551175237) 
$r3(551175237) -> $r3(-551175237) 
0(-551175237) -> 0(1505238748) 
this(-551175237) -> this(1505238748) 
side(-551175237) -> side(1505238748) 
effectiveLength(-551175237) -> effectiveLength(1505238748) 
$r0(-551175237) -> $r0(1505238748) 
$r1(-551175237) -> $r1(1505238748) 
$r2(-551175237) -> $r2(1505238748) 
$r3(-551175237) -> $r3(1505238748) 
0(1505238748) -> 0(1308675070) 
this(1505238748) -> this(1308675070) 
side(1505238748) -> side(1308675070) 
effectiveLength(1505238748) -> effectiveLength(1308675070) 
$r0(1505238748) -> $r0(1308675070) 
$r1(1505238748) -> $r1(1308675070) 
$r2(1505238748) -> $r2(1308675070) 
$r3(1505238748) -> $r3(1308675070) 
0(1505238748) -> 0(1190275976) 
this(1505238748) -> this(1190275976) 
side(1505238748) -> side(1190275976) 
effectiveLength(1505238748) -> effectiveLength(1190275976) 
$r0(1505238748) -> $r0(1190275976) 
$r1(1505238748) -> $r1(1190275976) 
$r2(1505238748) -> $r2(1190275976) 
$r3(1505238748) -> $r3(1190275976) 
0(1190275976) -> 0(1158156827) 
this(1190275976) -> this(1158156827) 
side(1190275976) -> side(1158156827) 
effectiveLength(1190275976) -> effectiveLength(1158156827) 
$r0(1190275976) -> $r0(1158156827) 
$r1(1190275976) -> $r1(1158156827) 
$r2(1190275976) -> $r2(1158156827) 
$r3(1190275976) -> $r3(1158156827) 
0(1158156827) -> 0(744076534) 
this(1158156827) -> this(744076534) 
side(1158156827) -> side(744076534) 
effectiveLength(1158156827) -> effectiveLength(744076534) 
$r0(1158156827) -> $r0(744076534) 
$r1(1158156827) -> $r1(744076534) 
$r3(1158156827) -> $r3(744076534) 
0(744076534) -> 0(1055688859) 
this(744076534) -> this(1055688859) 
side(744076534) -> side(1055688859) 
effectiveLength(744076534) -> effectiveLength(1055688859) 
$r0(744076534) -> $r0(1055688859) 
$r1(744076534) -> $r1(1055688859) 
$r2(744076534) -> $r2(1055688859) 
$r3(744076534) -> $r3(1055688859) 
0(1055688859) -> 0(-1055688859) 
this(1055688859) -> this(-1055688859) 
side(1055688859) -> side(-1055688859) 
effectiveLength(1055688859) -> effectiveLength(-1055688859) 
$r0(1055688859) -> $r0(-1055688859) 
$r1(1055688859) -> $r1(-1055688859) 
$r3(1055688859) -> $r3(-1055688859) 
0(-1055688859) -> 0(1031313772) 
this(-1055688859) -> this(1031313772) 
side(-1055688859) -> side(1031313772) 
effectiveLength(-1055688859) -> effectiveLength(1031313772) 
$r0(-1055688859) -> $r0(1031313772) 
$r1(-1055688859) -> $r1(1031313772) 
$r2(-1055688859) -> $r2(1031313772) 
$r3(-1055688859) -> $r3(1031313772) 
0(1031313772) -> 0(-1031313772) 
this(1031313772) -> this(-1031313772) 
side(1031313772) -> side(-1031313772) 
effectiveLength(1031313772) -> effectiveLength(-1031313772) 
$r0(1031313772) -> $r0(-1031313772) 
$r1(1031313772) -> $r1(-1031313772) 
$r3(1031313772) -> $r3(-1031313772) 
0(-1031313772) -> 0(967367624) 
this(-1031313772) -> this(967367624) 
side(-1031313772) -> side(967367624) 
effectiveLength(-1031313772) -> effectiveLength(967367624) 
$r0(-1031313772) -> $r0(967367624) 
$r1(-1031313772) -> $r1(967367624) 
$r2(-1031313772) -> $r2(967367624) 
$r3(-1031313772) -> $r3(967367624) 
0(967367624) -> 0(-967367624) 
this(967367624) -> this(-967367624) 
side(967367624) -> side(-967367624) 
effectiveLength(967367624) -> effectiveLength(-967367624) 
$r0(967367624) -> $r0(-967367624) 
$r1(967367624) -> $r1(-967367624) 
$r3(967367624) -> $r3(-967367624) 
0(-967367624) -> 0(1250415517) 
this(-967367624) -> this(1250415517) 
side(-967367624) -> side(1250415517) 
effectiveLength(-967367624) -> effectiveLength(1250415517) 
$r0(-967367624) -> $r0(1250415517) 
$r1(-967367624) -> $r1(1250415517) 
$r2(-967367624) -> $r2(1250415517) 
$r3(-967367624) -> $r3(1250415517) 
0(1250415517) -> 0(-1250415517) 
this(1250415517) -> this(-1250415517) 
side(1250415517) -> side(-1250415517) 
effectiveLength(1250415517) -> effectiveLength(-1250415517) 
$r0(1250415517) -> $r0(-1250415517) 
$r1(1250415517) -> $r1(-1250415517) 
$r3(1250415517) -> $r3(-1250415517) 
0(-1250415517) -> 0(786137256) 
this(-1250415517) -> this(786137256) 
side(-1250415517) -> side(786137256) 
effectiveLength(-1250415517) -> effectiveLength(786137256) 
$r0(-1250415517) -> $r0(786137256) 
$r1(-1250415517) -> $r1(786137256) 
$r2(-1250415517) -> $r2(786137256) 
$r3(-1250415517) -> $r3(786137256) 
0(786137256) -> 0(-786137256) 
this(786137256) -> this(-786137256) 
side(786137256) -> side(-786137256) 
effectiveLength(786137256) -> effectiveLength(-786137256) 
$r0(786137256) -> $r0(-786137256) 
$r1(786137256) -> $r1(-786137256) 
$r3(786137256) -> $r3(-786137256) 
0(-786137256) -> 0(1289465248) 
this(-786137256) -> this(1289465248) 
side(-786137256) -> side(1289465248) 
effectiveLength(-786137256) -> effectiveLength(1289465248) 
$r0(-786137256) -> $r0(1289465248) 
$r1(-786137256) -> $r1(1289465248) 
$r2(-786137256) -> $r2(1289465248) 
$r3(-786137256) -> $r3(1289465248) 
0(1289465248) -> 0(-1289465248) 
this(1289465248) -> this(-1289465248) 
side(1289465248) -> side(-1289465248) 
effectiveLength(1289465248) -> effectiveLength(-1289465248) 
$r0(1289465248) -> $r0(-1289465248) 
$r1(1289465248) -> $r1(-1289465248) 
$r2(1289465248) -> $r2(-1289465248) 
0(-1289465248) -> 0(1784941259) 
this(-1289465248) -> this(1784941259) 
side(-1289465248) -> side(1784941259) 
effectiveLength(-1289465248) -> effectiveLength(1784941259) 
$r0(-1289465248) -> $r0(1784941259) 
$r1(-1289465248) -> $r1(1784941259) 
$r2(-1289465248) -> $r2(1784941259) 
$r3(-1289465248) -> $r3(1784941259) 
0(1784941259) -> 0(1308675070) 
this(1784941259) -> this(1308675070) 
side(1784941259) -> side(1308675070) 
effectiveLength(1784941259) -> effectiveLength(1308675070) 
$r0(1784941259) -> $r0(1308675070) 
$r1(1784941259) -> $r1(1308675070) 
$r2(1784941259) -> $r2(1308675070) 
$r3(1784941259) -> $r3(1308675070) 
0(1308675070) -> 0(-1955316953) 
this(1308675070) -> this(-1955316953) 
side(1308675070) -> side(-1955316953) 
effectiveLength(1308675070) -> effectiveLength(-1955316953) 
$r0(1308675070) -> $r0(-1955316953) 
$r1(1308675070) -> $r1(-1955316953) 
$r2(1308675070) -> $r2(-1955316953) 
$r3(1308675070) -> $r3(-1955316953) 
0(1308675070) -> .return(-1955316953) 
