method: org.apache.fop.fonts.apps.AbstractFontReader.parseArguments:1255444609
439375 -> 439386
439376 -> 439387
439377 -> 439388
439378 -> 439389
439379 -> 439390
439380 -> 439391
439381 -> 439392
439382 -> 439393
439383 -> 439394
439384 -> 439395
439385 -> 439396
439386 -> 439397
439387 -> 439398
439388 -> 439399
439389 -> 439400
439390 -> 439401
439391 -> 439402
439392 -> 439403
439393 -> 439404
439394 -> 439405
439395 -> 439406
439396 -> 439407
439397 -> 439408
439398 -> 439409
439399 -> 439410
439400 -> 439411
439401 -> 439412
439402 -> 439413
439403 -> 439414
439404 -> 439415
439405 -> 439416
439406 -> 439417
439407 -> 439418
439408 -> 439419
439409 -> 439420
439410 -> 439421
439411 -> 439422
439412 -> 439423
439413 -> 439424
439414 -> 439425
439415 -> 439426
439416 -> 439427
439417 -> 439428
439418 -> 439429
439419 -> 439430
439420 -> 439431
439421 -> 439432
439422 -> 439433
439423 -> 439434
439424 -> 439435
439414 -> 439436
439415 -> 439437
439416 -> 439438
439417 -> 439439
439418 -> 439440
439419 -> 439441
439420 -> 439442
439421 -> 439443
439422 -> 439444
439423 -> 439445
439424 -> 439446
439436 -> 439447
439437 -> 439448
439438 -> 439449
439439 -> 439450
439440 -> 439451
439441 -> 439452
439442 -> 439453
439443 -> 439454
439444 -> 439455
439445 -> 439456
439446 -> 439457
439447 -> 439458
439448 -> 439459
439449 -> 439460
439450 -> 439461
439451 -> 439462
439452 -> 439463
439453 -> 439464
439454 -> 439465
439455 -> 439466
439456 -> 439467
439457 -> 439468
439458 -> 439469
439459 -> 439470
439460 -> 439471
439461 -> 439472
439462 -> 439473
439463 -> 439474
439464 -> 439475
439465 -> 439476
439466 -> 439477
439467 -> 439478
439468 -> 439479
439469 -> 439480
439470 -> 439481
439471 -> 439482
439472 -> 439483
439473 -> 439484
439474 -> 439485
439475 -> 439486
439476 -> 439487
439477 -> 439488
439478 -> 439489
439479 -> 439490
439480 -> 439491
439481 -> 439492
439482 -> 439493
439483 -> 439494
439484 -> 439495
439485 -> 439496
439486 -> 439497
439487 -> 439498
439488 -> 439499
439489 -> 439500
439490 -> 439501
439480 -> 439425
439481 -> 439426
439482 -> 439427
439483 -> 439428
439484 -> 439429
439485 -> 439430
439486 -> 439431
439487 -> 439432
439488 -> 439433
439489 -> 439434
439490 -> 439435
439425 -> 439502
439426 -> 439503
439427 -> 439504
439428 -> 439505
439429 -> 439506
439430 -> 439507
439431 -> 439508
439432 -> 439509
439433 -> 439510
439434 -> 439511
439435 -> 439512
439502 -> 439513
439503 -> 439514
439504 -> 439515
439505 -> 439516
439506 -> 439517
439507 -> 439518
439508 -> 439519
439509 -> 439520
439510 -> 439521
439511 -> 439522
439512 -> 439523
439513 -> 439524
439514 -> 439525
439515 -> 439526
439516 -> 439527
439517 -> 439528
439518 -> 439529
439519 -> 439530
439520 -> 439531
439521 -> 439532
439522 -> 439533
439523 -> 439534
439491 -> 439535
439492 -> 439536
439493 -> 439537
439494 -> 439538
439495 -> 439539
439496 -> 439540
439497 -> 439541
439498 -> 439542
439499 -> 439543
439500 -> 439544
439501 -> 439545
439535 -> 439546
439536 -> 439547
439537 -> 439548
439538 -> 439549
439539 -> 439550
439540 -> 439551
439541 -> 439552
439542 -> 439553
439543 -> 439554
439544 -> 439555
439545 -> 439556
439546 -> 439557
439547 -> 439558
439548 -> 439559
439549 -> 439560
439550 -> 439561
439551 -> 439562
439552 -> 439563
439553 -> 439564
439554 -> 439565
439555 -> 439566
439556 -> 439567
439546 -> 439568
439547 -> 439569
439548 -> 439570
439549 -> 439571
439550 -> 439572
439551 -> 439573
439552 -> 439574
439553 -> 439575
439554 -> 439576
439555 -> 439577
439556 -> 439578
439568 -> 439579
439569 -> 439580
439570 -> 439581
439571 -> 439582
439572 -> 439583
439573 -> 439584
439574 -> 439585
439575 -> 439586
439576 -> 439587
439577 -> 439588
439578 -> 439589
439579 -> 439590
439580 -> 439591
439581 -> 439592
439582 -> 439593
439583 -> 439594
439584 -> 439595
439585 -> 439596
439586 -> 439597
439587 -> 439598
439588 -> 439599
439589 -> 439600
439590 -> 439601
439591 -> 439602
439592 -> 439603
439593 -> 439604
439594 -> 439605
439595 -> 439606
439596 -> 439607
439597 -> 439608
439598 -> 439609
439599 -> 439610
439600 -> 439611
439601 -> 439612
439602 -> 439613
439603 -> 439614
439604 -> 439615
439605 -> 439616
439606 -> 439617
439607 -> 439618
439608 -> 439619
439609 -> 439620
439610 -> 439621
439611 -> 439622
439612 -> 439557
439613 -> 439558
439614 -> 439559
439615 -> 439560
439616 -> 439561
439617 -> 439562
439618 -> 439563
439619 -> 439564
439620 -> 439565
439621 -> 439566
439622 -> 439567
439612 -> 439623
439613 -> 439624
439614 -> 439625
439615 -> 439626
439616 -> 439627
439617 -> 439628
439618 -> 439629
439619 -> 439630
439620 -> 439631
439621 -> 439632
439622 -> 439633
439623 -> 439634
439624 -> 439635
439625 -> 439636
439626 -> 439637
439627 -> 439638
439628 -> 439639
439629 -> 439640
439630 -> 439641
439631 -> 439642
439632 -> 439643
439633 -> 439644
439634 -> 439645
439635 -> 439646
439636 -> 439647
439637 -> 439648
439638 -> 439649
439639 -> 439650
439640 -> 439651
439641 -> 439652
439642 -> 439653
439643 -> 439654
439644 -> 439655
439645 -> 439656
439646 -> 439657
439647 -> 439658
439648 -> 439659
439649 -> 439660
439650 -> 439661
439651 -> 439662
439652 -> 439663
439653 -> 439664
439654 -> 439665
439655 -> 439666
439656 -> 439667
439657 -> 439668
439658 -> 439669
439659 -> 439670
439660 -> 439671
439661 -> 439672
439662 -> 439673
439663 -> 439674
439664 -> 439675
439665 -> 439676
439666 -> 439677
439667 -> 439678
439668 -> 439679
439669 -> 439680
439670 -> 439681
439671 -> 439682
439672 -> 439683
439673 -> 439684
439674 -> 439685
439675 -> 439686
439676 -> 439687
439677 -> 439688
439678 -> 439524
439679 -> 439525
439680 -> 439526
439681 -> 439527
439682 -> 439528
439683 -> 439529
439684 -> 439530
439685 -> 439531
439686 -> 439532
439687 -> 439533
439688 -> 439534
439557 -> 439689
439558 -> 439690
439559 -> 439691
439560 -> 439692
439561 -> 439693
439562 -> 439694
439563 -> 439695
439564 -> 439696
439565 -> 439697
439566 -> 439698
439567 -> 439699
439689 -> 439700
439690 -> 439701
439691 -> 439702
439692 -> 439703
439693 -> 439704
439694 -> 439705
439695 -> 439706
439696 -> 439707
439697 -> 439708
439698 -> 439709
439699 -> 439710
439700 -> 439524
439701 -> 439525
439702 -> 439526
439703 -> 439527
439704 -> 439528
439705 -> 439529
439706 -> 439530
439707 -> 439531
439708 -> 439532
439709 -> 439533
439710 -> 439534
439359 -> 439711
439360 -> 439712
439361 -> 439713
439362 -> 439714
439363 -> 439715
439364 -> 439716
439365 -> 439717
439366 -> 439718
439367 -> 439719
439368 -> 439720
439369 -> 439721
439711 -> 439524
439712 -> 439525
439713 -> 439526
439714 -> 439527
439715 -> 439528
439716 -> 439529
439717 -> 439530
439718 -> 439531
439719 -> 439532
439720 -> 439533
439721 -> 439534
439524 -> 439722
439525 -> 439723
439526 -> 439724
439527 -> 439725
439528 -> 439726
439529 -> 439727
439530 -> 439728
439531 -> 439729
439532 -> 439730
439533 -> 439731
439534 -> 439732
439722 -> 439282
439723 -> 439283
439724 -> 439284
439725 -> 439285
439726 -> 439286
439727 -> 439287
439728 -> 439288
439729 -> 439289
439730 -> 439290
439731 -> 439291
439732 -> 439292
439304 -> 439733
439305 -> 439734
439306 -> 439735
439307 -> 439736
439308 -> 439737
439309 -> 439738
439310 -> 439739
439311 -> 439740
439313 -> 439741
439314 -> 439742
439733 -> 439743
439734 -> 439744
439735 -> 439745
439736 -> 439746
439737 -> 439747
439738 -> 439748
439739 -> 439749
439740 -> 439750
439751 -> 439752
439742 -> 439753
439743 -> 439754
439744 -> 439755
439745 -> 439756
439746 -> 439757
439747 -> 439758
439748 -> 439759
439749 -> 439760
439750 -> 439761
439752 -> 439762
439763 -> 439764
439753 -> 439765
439754 -> 439766
439755 -> 439767
439756 -> 439768
439757 -> 439769
439758 -> 439770
439759 -> 439771
439760 -> 439772
439761 -> 439773
439762 -> 439774
439764 -> 439775
439764 -> 439776
439766 -> 439777
439767 -> 439778
439768 -> 439779
439769 -> 439780
439770 -> 439781
439771 -> 439782
439772 -> 439783
439773 -> 439784
439774 -> 439785
439776 -> 439786
439775 -> 439787
439777 -> 439788
439778 -> 439789
439779 -> 439790
439780 -> 439791
439781 -> 439792
439782 -> 439793
439783 -> 439794
439784 -> 439795
439785 -> 439796
439786 -> 439797
439787 -> 439798
439787 -> 439799
