method: org.apache.fop.fonts.Font.getCharWidth:2099765440
this(1614003747) -> this(2008246149) 
0(2008246149) -> 0(592546344) 
this(2008246149) -> this(592546344) 
0(592546344) -> 0(1417961253) 
this(592546344) -> this(1417961253) 
0(372822475) -> 0(1781502629) 
this(372822475) -> this(1781502629) 
0(372822475) -> 0(738572713) 
this(372822475) -> this(738572713) 
0(738572713) -> 0(-738572713) 
this(738572713) -> this(-738572713) 
0(-738572713) -> 0(1655333665) 
this(-738572713) -> this(1655333665) 
0(1655333665) -> 0(542260770) 
this(1655333665) -> this(542260770) 
0(542260770) -> 0(1417961253) 
this(542260770) -> this(1417961253) 
0(1781502629) -> 0(187247286) 
this(1781502629) -> this(187247286) 
0(1781502629) -> 0(837294616) 
this(1781502629) -> this(837294616) 
0(837294616) -> 0(2097755968) 
this(837294616) -> this(2097755968) 
0(2097755968) -> 0(1417961253) 
this(2097755968) -> this(1417961253) 
0(187247286) -> 0(18039698) 
this(187247286) -> this(18039698) 
0(187247286) -> 0(1864392763) 
this(187247286) -> this(1864392763) 
0(1864392763) -> 0(-1864392763) 
this(1864392763) -> this(-1864392763) 
0(-1864392763) -> 0(826143881) 
this(-1864392763) -> this(826143881) 
0(826143881) -> 0(1518430112) 
this(826143881) -> this(1518430112) 
0(1518430112) -> 0(1417961253) 
this(1518430112) -> this(1417961253) 
0(18039698) -> 0(1436742222) 
this(18039698) -> this(1436742222) 
0(18039698) -> 0(2090984855) 
this(18039698) -> this(2090984855) 
0(2090984855) -> 0(1760058477) 
this(2090984855) -> this(1760058477) 
0(1760058477) -> 0(1417961253) 
this(1760058477) -> this(1417961253) 
0(1436742222) -> 0(-1436742222) 
this(1436742222) -> this(-1436742222) 
0(-1436742222) -> 0(29587860) 
this(-1436742222) -> this(29587860) 
0(29587860) -> 0(-29587860) 
this(29587860) -> this(-29587860) 
0(-29587860) -> 0(1417961253) 
this(-29587860) -> this(1417961253) 
0(1417961253) -> 0(-2099765440) 
this(1417961253) -> this(-2099765440) 
0(1417961253) -> .return(-2099765440) 
