method: org.apache.fop.layoutmgr.list.ListBlockLayoutManager.notifyBorder:1277975800
this(356548293) -> this(-356548293) 
side(356548293) -> side(-356548293) 
effectiveLength(356548293) -> effectiveLength(-356548293) 
$r0(356548293) -> $r0(-356548293) 
$r1(356548293) -> $r1(-356548293) 
$r3(356548293) -> $r3(-356548293) 
0(-356548293) -> 0(1776917226) 
this(-356548293) -> this(1776917226) 
side(-356548293) -> side(1776917226) 
effectiveLength(-356548293) -> effectiveLength(1776917226) 
$r0(-356548293) -> $r0(1776917226) 
$r1(-356548293) -> $r1(1776917226) 
$r2(-356548293) -> $r2(1776917226) 
$r3(-356548293) -> $r3(1776917226) 
0(1776917226) -> 0(-1776917226) 
this(1776917226) -> this(-1776917226) 
side(1776917226) -> side(-1776917226) 
effectiveLength(1776917226) -> effectiveLength(-1776917226) 
$r0(1776917226) -> $r0(-1776917226) 
$r1(1776917226) -> $r1(-1776917226) 
$r3(1776917226) -> $r3(-1776917226) 
0(-1776917226) -> 0(1740222200) 
this(-1776917226) -> this(1740222200) 
side(-1776917226) -> side(1740222200) 
effectiveLength(-1776917226) -> effectiveLength(1740222200) 
$r0(-1776917226) -> $r0(1740222200) 
$r1(-1776917226) -> $r1(1740222200) 
$r2(-1776917226) -> $r2(1740222200) 
$r3(-1776917226) -> $r3(1740222200) 
0(1740222200) -> 0(-1740222200) 
this(1740222200) -> this(-1740222200) 
side(1740222200) -> side(-1740222200) 
effectiveLength(1740222200) -> effectiveLength(-1740222200) 
$r0(1740222200) -> $r0(-1740222200) 
$r1(1740222200) -> $r1(-1740222200) 
$r2(1740222200) -> $r2(-1740222200) 
0(-1740222200) -> 0(1334726907) 
this(-1740222200) -> this(1334726907) 
side(-1740222200) -> side(1334726907) 
effectiveLength(-1740222200) -> effectiveLength(1334726907) 
$r0(-1740222200) -> $r0(1334726907) 
$r1(-1740222200) -> $r1(1334726907) 
$r2(-1740222200) -> $r2(1334726907) 
$r3(-1740222200) -> $r3(1334726907) 
0(1334726907) -> 0(140949387) 
this(1334726907) -> this(140949387) 
side(1334726907) -> side(140949387) 
effectiveLength(1334726907) -> effectiveLength(140949387) 
$r0(1334726907) -> $r0(140949387) 
$r1(1334726907) -> $r1(140949387) 
$r2(1334726907) -> $r2(140949387) 
$r3(1334726907) -> $r3(140949387) 
0(140949387) -> 0(-1277975800) 
this(140949387) -> this(-1277975800) 
side(140949387) -> side(-1277975800) 
effectiveLength(140949387) -> effectiveLength(-1277975800) 
$r0(140949387) -> $r0(-1277975800) 
$r1(140949387) -> $r1(-1277975800) 
$r2(140949387) -> $r2(-1277975800) 
$r3(140949387) -> $r3(-1277975800) 
0(140949387) -> .return(-1277975800) 
