method: org.apache.fop.util.DataURIResolver.parseDataURI:1315995113
$r0(28566383) -> $r0(1226345800) 
$r1(28566383) -> $r1(1226345800) 
$r2(28566383) -> $r2(1226345800) 
$r3(28566383) -> $r3(1226345800) 
0(1226345800) -> 0(711946189) 
this(1226345800) -> this(711946189) 
href(1226345800) -> href(711946189) 
header(1226345800) -> header(711946189) 
data(1226345800) -> data(711946189) 
bytes(1226345800) -> bytes(711946189) 
encodedStream(1226345800) -> encodedStream(711946189) 
decodedStream(1226345800) -> decodedStream(711946189) 
$r0(1226345800) -> $r0(711946189) 
$r2(1226345800) -> $r2(711946189) 
$r3(1226345800) -> $r3(711946189) 
0(711946189) -> 0(2048201086) 
this(711946189) -> this(2048201086) 
href(711946189) -> href(2048201086) 
header(711946189) -> header(2048201086) 
data(711946189) -> data(2048201086) 
bytes(711946189) -> bytes(2048201086) 
encodedStream(711946189) -> encodedStream(2048201086) 
decodedStream(711946189) -> decodedStream(2048201086) 
$r0(711946189) -> $r0(2048201086) 
$r1(711946189) -> $r1(2048201086) 
$r2(711946189) -> $r2(2048201086) 
$r3(711946189) -> $r3(2048201086) 
0(2048201086) -> 0(2100274639) 
this(2048201086) -> this(2100274639) 
href(2048201086) -> href(2100274639) 
header(2048201086) -> header(2100274639) 
data(2048201086) -> data(2100274639) 
bytes(2048201086) -> bytes(2100274639) 
encodedStream(2048201086) -> encodedStream(2100274639) 
$r0(2048201086) -> $r0(2100274639) 
$r1(2048201086) -> decodedStream(2100274639) 
$r1(2048201086) -> $r1(2100274639) 
$r2(2048201086) -> $r2(2100274639) 
$r3(2048201086) -> $r3(2100274639) 
0(2100274639) -> 0(643497982) 
this(2100274639) -> this(643497982) 
href(2100274639) -> href(643497982) 
header(2100274639) -> header(643497982) 
data(2100274639) -> data(643497982) 
bytes(2100274639) -> bytes(643497982) 
encodedStream(2100274639) -> encodedStream(643497982) 
decodedStream(2100274639) -> decodedStream(643497982) 
$r0(2100274639) -> $r0(643497982) 
$r1(2100274639) -> $r1(643497982) 
$r3(2100274639) -> $r3(643497982) 
0(643497982) -> 0(542937182) 
this(643497982) -> this(542937182) 
href(643497982) -> href(542937182) 
header(643497982) -> header(542937182) 
data(643497982) -> data(542937182) 
bytes(643497982) -> bytes(542937182) 
encodedStream(643497982) -> encodedStream(542937182) 
decodedStream(643497982) -> decodedStream(542937182) 
$r0(643497982) -> $r0(542937182) 
$r1(643497982) -> $r1(542937182) 
$r2(643497982) -> $r2(542937182) 
$r3(643497982) -> $r3(542937182) 
0(542937182) -> 0(-1315995113) 
this(542937182) -> this(-1315995113) 
href(542937182) -> href(-1315995113) 
header(542937182) -> header(-1315995113) 
data(542937182) -> data(-1315995113) 
bytes(542937182) -> bytes(-1315995113) 
encodedStream(542937182) -> encodedStream(-1315995113) 
decodedStream(542937182) -> decodedStream(-1315995113) 
$r0(542937182) -> $r0(-1315995113) 
$r1(542937182) -> $r1(-1315995113) 
$r2(542937182) -> $r2(-1315995113) 
$r3(542937182) -> $r3(-1315995113) 
$r2(542937182) -> .return(-1315995113) 
0(487201771) -> 0(723215358) 
this(487201771) -> this(723215358) 
href(487201771) -> href(723215358) 
header(487201771) -> header(723215358) 
data(487201771) -> data(723215358) 
bytes(487201771) -> bytes(723215358) 
encodedStream(487201771) -> encodedStream(723215358) 
decodedStream(487201771) -> decodedStream(723215358) 
$r0(487201771) -> $r0(723215358) 
$r1(487201771) -> $r1(723215358) 
$r3(487201771) -> $r3(723215358) 
0(723215358) -> 0(1284165803) 
this(723215358) -> this(1284165803) 
href(723215358) -> href(1284165803) 
header(723215358) -> header(1284165803) 
data(723215358) -> data(1284165803) 
bytes(723215358) -> bytes(1284165803) 
encodedStream(723215358) -> encodedStream(1284165803) 
decodedStream(723215358) -> decodedStream(1284165803) 
$r0(723215358) -> $r0(1284165803) 
$r1(723215358) -> $r1(1284165803) 
$r2(723215358) -> $r2(1284165803) 
0(1284165803) -> 0(763998671) 
this(1284165803) -> this(763998671) 
href(1284165803) -> href(763998671) 
header(1284165803) -> header(763998671) 
data(1284165803) -> data(763998671) 
bytes(1284165803) -> bytes(763998671) 
encodedStream(1284165803) -> encodedStream(763998671) 
decodedStream(1284165803) -> decodedStream(763998671) 
$r0(1284165803) -> $r0(763998671) 
$r1(1284165803) -> $r1(763998671) 
$r2(1284165803) -> $r2(763998671) 
$r3(1284165803) -> $r3(763998671) 
0(763998671) -> 0(720938084) 
this(763998671) -> this(720938084) 
href(763998671) -> href(720938084) 
header(763998671) -> header(720938084) 
data(763998671) -> data(720938084) 
bytes(763998671) -> bytes(720938084) 
encodedStream(763998671) -> encodedStream(720938084) 
decodedStream(763998671) -> decodedStream(720938084) 
$r0(763998671) -> $r0(720938084) 
$r1(763998671) -> $r1(720938084) 
$r2(763998671) -> $r2(720938084) 
$r3(763998671) -> $r3(720938084) 
0(720938084) -> 0(-1315995113) 
this(720938084) -> this(-1315995113) 
href(720938084) -> href(-1315995113) 
header(720938084) -> header(-1315995113) 
data(720938084) -> data(-1315995113) 
bytes(720938084) -> bytes(-1315995113) 
encodedStream(720938084) -> encodedStream(-1315995113) 
decodedStream(720938084) -> decodedStream(-1315995113) 
$r0(720938084) -> $r0(-1315995113) 
$r1(720938084) -> $r1(-1315995113) 
$r2(720938084) -> $r2(-1315995113) 
$r3(720938084) -> $r3(-1315995113) 
$r2(720938084) -> .return(-1315995113) 
