method: org.apache.fop.svg.PDFDocumentGraphics2D.closePage:1027270401
$r5(-112076187) -> $r5(2046610267) 
$r6(-112076187) -> $r6(2046610267) 
$r7(-112076187) -> $r7(2046610267) 
0(2046610267) -> 0(-2046610267) 
this(2046610267) -> this(-2046610267) 
annots(2046610267) -> annots(-2046610267) 
$r0(2046610267) -> $r0(-2046610267) 
$r1(2046610267) -> $r1(-2046610267) 
$r2(2046610267) -> $r2(-2046610267) 
$r3(2046610267) -> $r3(-2046610267) 
$r5(2046610267) -> $r5(-2046610267) 
$r6(2046610267) -> $r6(-2046610267) 
$r7(2046610267) -> $r7(-2046610267) 
0(-2046610267) -> 0(438511821) 
this(-2046610267) -> this(438511821) 
pdfStream(-2046610267) -> pdfStream(438511821) 
annots(-2046610267) -> annots(438511821) 
$r0(-2046610267) -> $r0(438511821) 
$r1(-2046610267) -> $r1(438511821) 
$r2(-2046610267) -> $r2(438511821) 
$r3(-2046610267) -> $r3(438511821) 
$r5(-2046610267) -> $r5(438511821) 
$r6(-2046610267) -> $r6(438511821) 
$r7(-2046610267) -> $r7(438511821) 
0(438511821) -> 0(-438511821) 
this(438511821) -> this(-438511821) 
pdfStream(438511821) -> pdfStream(-438511821) 
annots(438511821) -> annots(-438511821) 
$r0(438511821) -> $r0(-438511821) 
$r1(438511821) -> $r1(-438511821) 
$r2(438511821) -> $r2(-438511821) 
$r5(438511821) -> $r5(-438511821) 
$r6(438511821) -> $r6(-438511821) 
$r7(438511821) -> $r7(-438511821) 
0(-438511821) -> 0(2051782690) 
this(-438511821) -> this(2051782690) 
pdfStream(-438511821) -> pdfStream(2051782690) 
annots(-438511821) -> annots(2051782690) 
$r0(-438511821) -> $r0(2051782690) 
$r1(-438511821) -> $r1(2051782690) 
$r2(-438511821) -> $r2(2051782690) 
$r3(-438511821) -> $r3(2051782690) 
$r5(-438511821) -> $r5(2051782690) 
$r6(-438511821) -> $r6(2051782690) 
$r7(-438511821) -> $r7(2051782690) 
0(2051782690) -> 0(1184642130) 
this(2051782690) -> this(1184642130) 
pdfStream(2051782690) -> pdfStream(1184642130) 
annots(2051782690) -> annots(1184642130) 
$r0(2051782690) -> $r0(1184642130) 
$r1(2051782690) -> $r1(1184642130) 
$r2(2051782690) -> $r2(1184642130) 
$r3(2051782690) -> $r3(1184642130) 
$r5(2051782690) -> $r5(1184642130) 
$r6(2051782690) -> $r6(1184642130) 
$r7(2051782690) -> $r7(1184642130) 
0(1184642130) -> 0(1119717735) 
this(1184642130) -> this(1119717735) 
pdfStream(1184642130) -> pdfStream(1119717735) 
annots(1184642130) -> annots(1119717735) 
$r0(1184642130) -> $r0(1119717735) 
$r1(1184642130) -> $r1(1119717735) 
$r2(1184642130) -> $r2(1119717735) 
$r3(1184642130) -> $r3(1119717735) 
$r5(1184642130) -> $r5(1119717735) 
$r6(1184642130) -> $r6(1119717735) 
$r7(1184642130) -> $r7(1119717735) 
0(1119717735) -> 0(1617933603) 
this(1119717735) -> this(1617933603) 
pdfStream(1119717735) -> pdfStream(1617933603) 
annots(1119717735) -> annots(1617933603) 
$r0(1119717735) -> $r0(1617933603) 
$r1(1119717735) -> $r1(1617933603) 
$r2(1119717735) -> $r2(1617933603) 
$r3(1119717735) -> $r3(1617933603) 
$r5(1119717735) -> $r5(1617933603) 
$r6(1119717735) -> $r6(1617933603) 
$r7(1119717735) -> $r7(1617933603) 
0(1617933603) -> 0(767427722) 
this(1617933603) -> this(767427722) 
pdfStream(1617933603) -> pdfStream(767427722) 
annots(1617933603) -> annots(767427722) 
$r0(1617933603) -> $r0(767427722) 
$r1(1617933603) -> $r1(767427722) 
$r2(1617933603) -> $r2(767427722) 
$r3(1617933603) -> $r3(767427722) 
$r5(1617933603) -> $r5(767427722) 
$r6(1617933603) -> $r6(767427722) 
$r7(1617933603) -> $r7(767427722) 
0(767427722) -> 0(370939772) 
this(767427722) -> this(370939772) 
pdfStream(767427722) -> pdfStream(370939772) 
annots(767427722) -> annots(370939772) 
$r0(767427722) -> $r0(370939772) 
$r1(767427722) -> $r1(370939772) 
$r2(767427722) -> $r2(370939772) 
$r3(767427722) -> $r3(370939772) 
$r5(767427722) -> $r5(370939772) 
$r6(767427722) -> $r6(370939772) 
$r7(767427722) -> $r7(370939772) 
0(370939772) -> 0(-370939772) 
this(370939772) -> this(-370939772) 
pdfStream(370939772) -> pdfStream(-370939772) 
annots(370939772) -> annots(-370939772) 
$r0(370939772) -> $r0(-370939772) 
$r1(370939772) -> $r1(-370939772) 
$r2(370939772) -> $r2(-370939772) 
$r3(370939772) -> $r3(-370939772) 
$r6(370939772) -> $r6(-370939772) 
$r7(370939772) -> $r7(-370939772) 
0(-370939772) -> 0(307541969) 
this(-370939772) -> this(307541969) 
pdfStream(-370939772) -> pdfStream(307541969) 
annots(-370939772) -> annots(307541969) 
$r0(-370939772) -> $r0(307541969) 
$r1(-370939772) -> $r1(307541969) 
$r2(-370939772) -> $r2(307541969) 
$r3(-370939772) -> $r3(307541969) 
$r5(-370939772) -> $r5(307541969) 
$r6(-370939772) -> $r6(307541969) 
$r7(-370939772) -> $r7(307541969) 
0(307541969) -> 0(780511951) 
this(307541969) -> this(780511951) 
pdfStream(307541969) -> pdfStream(780511951) 
annots(307541969) -> annots(780511951) 
$r0(307541969) -> $r0(780511951) 
$r1(307541969) -> $r1(780511951) 
$r2(307541969) -> $r2(780511951) 
$r3(307541969) -> $r3(780511951) 
$r5(307541969) -> $r5(780511951) 
$r6(307541969) -> $r6(780511951) 
$r7(307541969) -> $r7(780511951) 
0(780511951) -> 0(1234244581) 
this(780511951) -> this(1234244581) 
pdfStream(780511951) -> pdfStream(1234244581) 
annots(780511951) -> annots(1234244581) 
$r0(780511951) -> $r0(1234244581) 
$r1(780511951) -> $r1(1234244581) 
$r2(780511951) -> $r2(1234244581) 
$r3(780511951) -> $r3(1234244581) 
$r5(780511951) -> $r5(1234244581) 
$r6(780511951) -> $r6(1234244581) 
$r7(780511951) -> $r7(1234244581) 
0(1234244581) -> 0(-1234244581) 
this(1234244581) -> this(-1234244581) 
pdfStream(1234244581) -> pdfStream(-1234244581) 
annots(1234244581) -> annots(-1234244581) 
$r0(1234244581) -> $r0(-1234244581) 
$r1(1234244581) -> $r1(-1234244581) 
$r2(1234244581) -> $r2(-1234244581) 
$r3(1234244581) -> $r3(-1234244581) 
$r6(1234244581) -> $r6(-1234244581) 
$r7(1234244581) -> $r7(-1234244581) 
0(-1234244581) -> 0(456187775) 
this(-1234244581) -> this(456187775) 
pdfStream(-1234244581) -> pdfStream(456187775) 
annots(-1234244581) -> annots(456187775) 
$r0(-1234244581) -> $r0(456187775) 
$r1(-1234244581) -> $r1(456187775) 
$r2(-1234244581) -> $r2(456187775) 
$r3(-1234244581) -> $r3(456187775) 
$r5(-1234244581) -> $r5(456187775) 
$r6(-1234244581) -> $r6(456187775) 
$r7(-1234244581) -> $r7(456187775) 
0(456187775) -> 0(-456187775) 
this(456187775) -> this(-456187775) 
pdfStream(456187775) -> pdfStream(-456187775) 
$r0(456187775) -> $r0(-456187775) 
$r1(456187775) -> $r1(-456187775) 
$r2(456187775) -> $r2(-456187775) 
$r3(456187775) -> $r3(-456187775) 
$r5(456187775) -> $r5(-456187775) 
$r6(456187775) -> $r6(-456187775) 
$r7(456187775) -> $r7(-456187775) 
0(-456187775) -> 0(1935854265) 
this(-456187775) -> this(1935854265) 
pdfStream(-456187775) -> pdfStream(1935854265) 
annots(-456187775) -> annots(1935854265) 
$r0(-456187775) -> $r0(1935854265) 
$r1(-456187775) -> $r1(1935854265) 
$r2(-456187775) -> $r2(1935854265) 
$r3(-456187775) -> $r3(1935854265) 
$r5(-456187775) -> $r5(1935854265) 
$r6(-456187775) -> $r6(1935854265) 
$r7(-456187775) -> $r7(1935854265) 
0(1935854265) -> 0(1533654202) 
this(1935854265) -> this(1533654202) 
pdfStream(1935854265) -> pdfStream(1533654202) 
annots(1935854265) -> annots(1533654202) 
$r0(1935854265) -> $r0(1533654202) 
$r1(1935854265) -> $r1(1533654202) 
$r2(1935854265) -> $r2(1533654202) 
$r3(1935854265) -> $r3(1533654202) 
$r5(1935854265) -> $r5(1533654202) 
$r6(1935854265) -> $r6(1533654202) 
$r7(1935854265) -> $r7(1533654202) 
0(1935854265) -> 0(398604749) 
this(1935854265) -> this(398604749) 
pdfStream(1935854265) -> pdfStream(398604749) 
annots(1935854265) -> annots(398604749) 
$r0(1935854265) -> $r0(398604749) 
$r1(1935854265) -> $r1(398604749) 
$r2(1935854265) -> $r2(398604749) 
$r3(1935854265) -> $r3(398604749) 
$r5(1935854265) -> $r5(398604749) 
$r6(1935854265) -> $r6(398604749) 
$r7(1935854265) -> $r7(398604749) 
0(398604749) -> 0(57599712) 
this(398604749) -> this(57599712) 
pdfStream(398604749) -> pdfStream(57599712) 
annots(398604749) -> annots(57599712) 
$r0(398604749) -> $r0(57599712) 
$r1(398604749) -> $r1(57599712) 
$r2(398604749) -> $r2(57599712) 
$r3(398604749) -> $r3(57599712) 
$r5(398604749) -> $r5(57599712) 
$r6(398604749) -> $r6(57599712) 
$r7(398604749) -> $r7(57599712) 
0(57599712) -> 0(1533654202) 
this(57599712) -> this(1533654202) 
pdfStream(57599712) -> pdfStream(1533654202) 
annots(57599712) -> annots(1533654202) 
$r0(57599712) -> $r0(1533654202) 
$r1(57599712) -> $r1(1533654202) 
$r2(57599712) -> $r2(1533654202) 
$r3(57599712) -> $r3(1533654202) 
$r5(57599712) -> $r5(1533654202) 
$r6(57599712) -> $r6(1533654202) 
$r7(57599712) -> $r7(1533654202) 
0(1533654202) -> 0(1089961091) 
this(1533654202) -> this(1089961091) 
pdfStream(1533654202) -> pdfStream(1089961091) 
annots(1533654202) -> annots(1089961091) 
$r0(1533654202) -> $r0(1089961091) 
$r1(1533654202) -> $r1(1089961091) 
$r2(1533654202) -> $r2(1089961091) 
$r3(1533654202) -> $r3(1089961091) 
$r5(1533654202) -> $r5(1089961091) 
$r6(1533654202) -> $r6(1089961091) 
$r7(1533654202) -> $r7(1089961091) 
0(1089961091) -> 0(940547527) 
this(1089961091) -> this(940547527) 
pdfStream(1089961091) -> pdfStream(940547527) 
annots(1089961091) -> annots(940547527) 
$r0(1089961091) -> $r0(940547527) 
$r1(1089961091) -> $r1(940547527) 
$r2(1089961091) -> $r2(940547527) 
$r3(1089961091) -> $r3(940547527) 
$r5(1089961091) -> $r5(940547527) 
$r6(1089961091) -> $r6(940547527) 
$r7(1089961091) -> $r7(940547527) 
0(940547527) -> 0(-940547527) 
this(940547527) -> this(-940547527) 
pdfStream(940547527) -> pdfStream(-940547527) 
annots(940547527) -> annots(-940547527) 
$r0(940547527) -> $r0(-940547527) 
$r1(940547527) -> $r1(-940547527) 
$r2(940547527) -> $r2(-940547527) 
$r3(940547527) -> $r3(-940547527) 
$r5(940547527) -> $r5(-940547527) 
$r6(940547527) -> $r6(-940547527) 
0(-940547527) -> 0(155160722) 
this(-940547527) -> this(155160722) 
pdfStream(-940547527) -> pdfStream(155160722) 
annots(-940547527) -> annots(155160722) 
$r0(-940547527) -> $r0(155160722) 
$r1(-940547527) -> $r1(155160722) 
$r2(-940547527) -> $r2(155160722) 
$r3(-940547527) -> $r3(155160722) 
$r5(-940547527) -> $r5(155160722) 
$r6(-940547527) -> $r6(155160722) 
$r7(-940547527) -> $r7(155160722) 
0(155160722) -> 0(383490572) 
this(155160722) -> this(383490572) 
pdfStream(155160722) -> pdfStream(383490572) 
annots(155160722) -> annots(383490572) 
$r0(155160722) -> $r0(383490572) 
$r1(155160722) -> $r1(383490572) 
$r2(155160722) -> $r2(383490572) 
$r3(155160722) -> $r3(383490572) 
$r5(155160722) -> $r5(383490572) 
$r6(155160722) -> $r6(383490572) 
$r7(155160722) -> $r7(383490572) 
0(383490572) -> 0(727618957) 
this(383490572) -> this(727618957) 
pdfStream(383490572) -> pdfStream(727618957) 
annots(383490572) -> annots(727618957) 
$r0(383490572) -> $r0(727618957) 
$r1(383490572) -> $r1(727618957) 
$r2(383490572) -> $r2(727618957) 
$r3(383490572) -> $r3(727618957) 
$r5(383490572) -> $r5(727618957) 
$r6(383490572) -> $r6(727618957) 
$r7(383490572) -> $r7(727618957) 
0(727618957) -> 0(1319924281) 
this(727618957) -> this(1319924281) 
pdfStream(727618957) -> pdfStream(1319924281) 
annots(727618957) -> annots(1319924281) 
$r0(727618957) -> $r0(1319924281) 
$r1(727618957) -> $r1(1319924281) 
$r2(727618957) -> $r2(1319924281) 
$r3(727618957) -> $r3(1319924281) 
$r5(727618957) -> $r5(1319924281) 
$r6(727618957) -> $r6(1319924281) 
$r7(727618957) -> $r7(1319924281) 
0(1319924281) -> 0(-1027270401) 
this(1319924281) -> this(-1027270401) 
pdfStream(1319924281) -> pdfStream(-1027270401) 
annots(1319924281) -> annots(-1027270401) 
$r0(1319924281) -> $r0(-1027270401) 
$r1(1319924281) -> $r1(-1027270401) 
$r2(1319924281) -> $r2(-1027270401) 
$r3(1319924281) -> $r3(-1027270401) 
$r5(1319924281) -> $r5(-1027270401) 
$r6(1319924281) -> $r6(-1027270401) 
$r7(1319924281) -> $r7(-1027270401) 
0(1319924281) -> .return(-1027270401) 
