method: org.apache.fop.render.ps.PSDictionary$Maker.nextToken:1233192520
this(1229181722) -> this(802543217) 
str(1229181722) -> str(802543217) 
t(1229181722) -> t(802543217) 
$r0(1229181722) -> $r0(802543217) 
$r1(1229181722) -> $r1(802543217) 
0(2014099710) -> 0(802543217) 
this(2014099710) -> this(802543217) 
str(2014099710) -> str(802543217) 
t(2014099710) -> t(802543217) 
$r0(2014099710) -> $r0(802543217) 
$r1(2014099710) -> $r1(802543217) 
0(2014099710) -> 0(2046965450) 
this(2014099710) -> this(2046965450) 
str(2014099710) -> str(2046965450) 
t(2014099710) -> t(2046965450) 
$r0(2014099710) -> $r0(2046965450) 
$r1(2014099710) -> $r1(2046965450) 
0(2046965450) -> 0(802543217) 
this(2046965450) -> this(802543217) 
str(2046965450) -> str(802543217) 
t(2046965450) -> t(802543217) 
$r0(2046965450) -> $r0(802543217) 
$r1(2046965450) -> $r1(802543217) 
0(2046965450) -> 0(1205607486) 
this(2046965450) -> this(1205607486) 
str(2046965450) -> str(1205607486) 
t(2046965450) -> t(1205607486) 
$r0(2046965450) -> $r0(1205607486) 
$r1(2046965450) -> $r1(1205607486) 
0(1205607486) -> 0(1878313331) 
this(1205607486) -> this(1878313331) 
str(1205607486) -> str(1878313331) 
t(1205607486) -> t(1878313331) 
$r0(1205607486) -> $r0(1878313331) 
$r1(1205607486) -> $r1(1878313331) 
0(1878313331) -> 0(121812719) 
this(1878313331) -> this(121812719) 
str(1878313331) -> str(121812719) 
t(1878313331) -> t(121812719) 
$r0(1878313331) -> $r0(121812719) 
$r1(1878313331) -> $r1(121812719) 
0(802543217) -> 0(2146544959) 
this(802543217) -> this(2146544959) 
str(802543217) -> str(2146544959) 
t(802543217) -> t(2146544959) 
$r0(802543217) -> $r0(2146544959) 
$r1(802543217) -> $r1(2146544959) 
0(2146544959) -> 0(1337834207) 
this(2146544959) -> this(1337834207) 
str(2146544959) -> str(1337834207) 
t(2146544959) -> t(1337834207) 
$r0(2146544959) -> $r0(1337834207) 
$r1(2146544959) -> $r1(1337834207) 
0(121812719) -> 0(1495034630) 
this(121812719) -> this(1495034630) 
str(121812719) -> str(1495034630) 
t(121812719) -> t(1495034630) 
$r0(121812719) -> $r0(1495034630) 
$r1(121812719) -> $r1(1495034630) 
0(121812719) -> 0(1342102206) 
this(121812719) -> this(1342102206) 
str(121812719) -> str(1342102206) 
t(121812719) -> t(1342102206) 
$r0(121812719) -> $r0(1342102206) 
$r1(121812719) -> $r1(1342102206) 
0(1342102206) -> 0(-1342102206) 
this(1342102206) -> this(-1342102206) 
str(1342102206) -> str(-1342102206) 
t(1342102206) -> t(-1342102206) 
$r0(1342102206) -> $r0(-1342102206) 
$r1(1342102206) -> $r1(-1342102206) 
0(-1342102206) -> 0(1372895009) 
this(-1342102206) -> this(1372895009) 
str(-1342102206) -> str(1372895009) 
t(-1342102206) -> t(1372895009) 
$r0(-1342102206) -> $r0(1372895009) 
$r1(-1342102206) -> $r1(1372895009) 
0(1372895009) -> 0(439639992) 
this(1372895009) -> this(439639992) 
str(1372895009) -> str(439639992) 
t(1372895009) -> t(439639992) 
$r0(1372895009) -> $r0(439639992) 
$r1(1372895009) -> $r1(439639992) 
0(1372895009) -> 0(1321557232) 
this(1372895009) -> this(1321557232) 
str(1372895009) -> str(1321557232) 
t(1372895009) -> t(1321557232) 
$r0(1372895009) -> $r0(1321557232) 
$r1(1372895009) -> $r1(1321557232) 
0(1321557232) -> 0(-1321557232) 
this(1321557232) -> this(-1321557232) 
str(1321557232) -> str(-1321557232) 
t(1321557232) -> t(-1321557232) 
$r0(1321557232) -> $r0(-1321557232) 
$r1(1321557232) -> $r1(-1321557232) 
0(-1321557232) -> 0(1136807757) 
this(-1321557232) -> this(1136807757) 
str(-1321557232) -> str(1136807757) 
t(-1321557232) -> t(1136807757) 
$r0(-1321557232) -> $r0(1136807757) 
$r1(-1321557232) -> $r1(1136807757) 
0(1136807757) -> 0(439639992) 
this(1136807757) -> this(439639992) 
str(1136807757) -> str(439639992) 
t(1136807757) -> t(439639992) 
$r0(1136807757) -> $r0(439639992) 
$r1(1136807757) -> $r1(439639992) 
0(439639992) -> 0(-439639992) 
this(439639992) -> this(-439639992) 
str(439639992) -> str(-439639992) 
t(439639992) -> t(-439639992) 
$r0(439639992) -> $r0(-439639992) 
$r1(439639992) -> $r1(-439639992) 
0(-439639992) -> 0(272643024) 
this(-439639992) -> this(272643024) 
str(-439639992) -> str(272643024) 
t(-439639992) -> t(272643024) 
$r0(-439639992) -> $r0(272643024) 
$r1(-439639992) -> $r1(272643024) 
0(272643024) -> 0(-272643024) 
this(272643024) -> this(-272643024) 
str(272643024) -> str(-272643024) 
t(272643024) -> t(-272643024) 
$r0(272643024) -> $r0(-272643024) 
$r1(272643024) -> $r1(-272643024) 
0(-272643024) -> 0(1728685317) 
this(-272643024) -> this(1728685317) 
str(-272643024) -> str(1728685317) 
t(-272643024) -> t(1728685317) 
$r0(-272643024) -> $r0(1728685317) 
$r1(-272643024) -> $r1(1728685317) 
0(1728685317) -> 0(-1728685317) 
this(1728685317) -> this(-1728685317) 
str(1728685317) -> str(-1728685317) 
t(1728685317) -> t(-1728685317) 
$r0(1728685317) -> $r0(-1728685317) 
0(-1728685317) -> 0(165964540) 
this(-1728685317) -> this(165964540) 
str(-1728685317) -> str(165964540) 
t(-1728685317) -> t(165964540) 
$r0(-1728685317) -> $r0(165964540) 
$r1(-1728685317) -> $r1(165964540) 
0(165964540) -> 0(1495034630) 
this(165964540) -> this(1495034630) 
str(165964540) -> str(1495034630) 
t(165964540) -> t(1495034630) 
$r0(165964540) -> $r0(1495034630) 
$r1(165964540) -> $r1(1495034630) 
0(1495034630) -> 0(-1233192520) 
this(1495034630) -> this(-1233192520) 
str(1495034630) -> str(-1233192520) 
t(1495034630) -> t(-1233192520) 
$r0(1495034630) -> $r0(-1233192520) 
$r1(1495034630) -> $r1(-1233192520) 
t(1495034630) -> .return(-1233192520) 
