method: org.apache.fop.render.java2d.Java2DGraphics2DAdapter.paintImage:285286959
painter(764085012) -> painter(1453107329) 
context(764085012) -> context(1453107329) 
dim(764085012) -> dim(1453107329) 
renderer(764085012) -> renderer(1453107329) 
state(764085012) -> state(1453107329) 
g2d(764085012) -> g2d(1453107329) 
at(764085012) -> at(1453107329) 
area(764085012) -> area(1453107329) 
$r0(764085012) -> $r0(1453107329) 
$r1(764085012) -> $r1(1453107329) 
$r2(764085012) -> $r2(1453107329) 
$r3(764085012) -> $r3(1453107329) 
$r4(764085012) -> $r4(1453107329) 
0(1453107329) -> 0(-1453107329) 
this(1453107329) -> this(-1453107329) 
painter(1453107329) -> painter(-1453107329) 
context(1453107329) -> context(-1453107329) 
renderer(1453107329) -> renderer(-1453107329) 
state(1453107329) -> state(-1453107329) 
g2d(1453107329) -> g2d(-1453107329) 
at(1453107329) -> at(-1453107329) 
area(1453107329) -> area(-1453107329) 
$r0(1453107329) -> $r0(-1453107329) 
$r1(1453107329) -> $r1(-1453107329) 
$r2(1453107329) -> $r2(-1453107329) 
$r3(1453107329) -> $r3(-1453107329) 
$r4(1453107329) -> $r4(-1453107329) 
0(-1453107329) -> 0(2128766540) 
this(-1453107329) -> this(2128766540) 
painter(-1453107329) -> painter(2128766540) 
context(-1453107329) -> context(2128766540) 
dim(-1453107329) -> dim(2128766540) 
renderer(-1453107329) -> renderer(2128766540) 
state(-1453107329) -> state(2128766540) 
g2d(-1453107329) -> g2d(2128766540) 
at(-1453107329) -> at(2128766540) 
area(-1453107329) -> area(2128766540) 
$r0(-1453107329) -> $r0(2128766540) 
$r1(-1453107329) -> $r1(2128766540) 
$r2(-1453107329) -> $r2(2128766540) 
$r3(-1453107329) -> $r3(2128766540) 
$r4(-1453107329) -> $r4(2128766540) 
0(2128766540) -> 0(-2128766540) 
this(2128766540) -> this(-2128766540) 
painter(2128766540) -> painter(-2128766540) 
context(2128766540) -> context(-2128766540) 
dim(2128766540) -> dim(-2128766540) 
renderer(2128766540) -> renderer(-2128766540) 
state(2128766540) -> state(-2128766540) 
g2d(2128766540) -> g2d(-2128766540) 
at(2128766540) -> at(-2128766540) 
area(2128766540) -> area(-2128766540) 
$r0(2128766540) -> $r0(-2128766540) 
$r1(2128766540) -> $r1(-2128766540) 
$r2(2128766540) -> $r2(-2128766540) 
$r3(2128766540) -> $r3(-2128766540) 
$r4(2128766540) -> $r4(-2128766540) 
0(-2128766540) -> 0(1101678760) 
this(-2128766540) -> this(1101678760) 
painter(-2128766540) -> painter(1101678760) 
context(-2128766540) -> context(1101678760) 
dim(-2128766540) -> dim(1101678760) 
renderer(-2128766540) -> renderer(1101678760) 
state(-2128766540) -> state(1101678760) 
g2d(-2128766540) -> g2d(1101678760) 
at(-2128766540) -> at(1101678760) 
area(-2128766540) -> area(1101678760) 
$r0(-2128766540) -> $r0(1101678760) 
$r1(-2128766540) -> $r1(1101678760) 
$r2(-2128766540) -> $r2(1101678760) 
$r3(-2128766540) -> $r3(1101678760) 
$r4(-2128766540) -> $r4(1101678760) 
0(1101678760) -> 0(870213382) 
this(1101678760) -> this(870213382) 
painter(1101678760) -> painter(870213382) 
context(1101678760) -> context(870213382) 
dim(1101678760) -> dim(870213382) 
renderer(1101678760) -> renderer(870213382) 
state(1101678760) -> state(870213382) 
g2d(1101678760) -> g2d(870213382) 
at(1101678760) -> at(870213382) 
area(1101678760) -> area(870213382) 
$r0(1101678760) -> $r0(870213382) 
$r1(1101678760) -> $r1(870213382) 
$r2(1101678760) -> $r2(870213382) 
$r3(1101678760) -> $r3(870213382) 
$r4(1101678760) -> $r4(870213382) 
0(870213382) -> 0(1032647997) 
this(870213382) -> this(1032647997) 
painter(870213382) -> painter(1032647997) 
context(870213382) -> context(1032647997) 
dim(870213382) -> dim(1032647997) 
renderer(870213382) -> renderer(1032647997) 
state(870213382) -> state(1032647997) 
g2d(870213382) -> g2d(1032647997) 
at(870213382) -> at(1032647997) 
area(870213382) -> area(1032647997) 
$r0(870213382) -> $r0(1032647997) 
$r1(870213382) -> $r1(1032647997) 
$r2(870213382) -> $r2(1032647997) 
$r3(870213382) -> $r3(1032647997) 
$r4(870213382) -> $r4(1032647997) 
0(1032647997) -> 0(-1032647997) 
this(1032647997) -> this(-1032647997) 
painter(1032647997) -> painter(-1032647997) 
context(1032647997) -> context(-1032647997) 
dim(1032647997) -> dim(-1032647997) 
renderer(1032647997) -> renderer(-1032647997) 
state(1032647997) -> state(-1032647997) 
g2d(1032647997) -> g2d(-1032647997) 
at(1032647997) -> at(-1032647997) 
area(1032647997) -> area(-1032647997) 
$r0(1032647997) -> $r0(-1032647997) 
$r1(1032647997) -> $r1(-1032647997) 
$r2(1032647997) -> $r2(-1032647997) 
$r3(1032647997) -> $r3(-1032647997) 
$r4(1032647997) -> $r4(-1032647997) 
0(-1032647997) -> 0(1899534172) 
this(-1032647997) -> this(1899534172) 
painter(-1032647997) -> painter(1899534172) 
context(-1032647997) -> context(1899534172) 
dim(-1032647997) -> dim(1899534172) 
renderer(-1032647997) -> renderer(1899534172) 
state(-1032647997) -> state(1899534172) 
g2d(-1032647997) -> g2d(1899534172) 
at(-1032647997) -> at(1899534172) 
area(-1032647997) -> area(1899534172) 
$r0(-1032647997) -> $r0(1899534172) 
$r1(-1032647997) -> $r1(1899534172) 
$r2(-1032647997) -> $r2(1899534172) 
$r3(-1032647997) -> $r3(1899534172) 
$r4(-1032647997) -> $r4(1899534172) 
0(1899534172) -> 0(117114446) 
this(1899534172) -> this(117114446) 
painter(1899534172) -> painter(117114446) 
context(1899534172) -> context(117114446) 
dim(1899534172) -> dim(117114446) 
renderer(1899534172) -> renderer(117114446) 
state(1899534172) -> state(117114446) 
g2d(1899534172) -> g2d(117114446) 
at(1899534172) -> at(117114446) 
area(1899534172) -> area(117114446) 
$r0(1899534172) -> $r0(117114446) 
$r1(1899534172) -> $r1(117114446) 
$r2(1899534172) -> $r2(117114446) 
$r3(1899534172) -> $r3(117114446) 
$r4(1899534172) -> $r4(117114446) 
0(117114446) -> 0(232017736) 
this(117114446) -> this(232017736) 
painter(117114446) -> painter(232017736) 
context(117114446) -> context(232017736) 
dim(117114446) -> dim(232017736) 
renderer(117114446) -> renderer(232017736) 
state(117114446) -> state(232017736) 
g2d(117114446) -> g2d(232017736) 
at(117114446) -> at(232017736) 
area(117114446) -> area(232017736) 
$r0(117114446) -> $r0(232017736) 
$r1(117114446) -> $r1(232017736) 
$r2(117114446) -> $r2(232017736) 
$r3(117114446) -> $r3(232017736) 
$r4(117114446) -> $r4(232017736) 
0(232017736) -> 0(483140933) 
this(232017736) -> this(483140933) 
painter(232017736) -> painter(483140933) 
context(232017736) -> context(483140933) 
dim(232017736) -> dim(483140933) 
renderer(232017736) -> renderer(483140933) 
state(232017736) -> state(483140933) 
g2d(232017736) -> g2d(483140933) 
at(232017736) -> at(483140933) 
area(232017736) -> area(483140933) 
$r0(232017736) -> $r0(483140933) 
$r1(232017736) -> $r1(483140933) 
$r2(232017736) -> $r2(483140933) 
$r3(232017736) -> $r3(483140933) 
$r4(232017736) -> $r4(483140933) 
0(483140933) -> 0(1477996334) 
this(483140933) -> this(1477996334) 
painter(483140933) -> painter(1477996334) 
context(483140933) -> context(1477996334) 
dim(483140933) -> dim(1477996334) 
renderer(483140933) -> renderer(1477996334) 
state(483140933) -> state(1477996334) 
g2d(483140933) -> g2d(1477996334) 
at(483140933) -> at(1477996334) 
area(483140933) -> area(1477996334) 
$r0(483140933) -> $r0(1477996334) 
$r1(483140933) -> $r1(1477996334) 
$r2(483140933) -> $r2(1477996334) 
$r3(483140933) -> $r3(1477996334) 
$r4(483140933) -> $r4(1477996334) 
0(1477996334) -> 0(-1477996334) 
this(1477996334) -> this(-1477996334) 
painter(1477996334) -> painter(-1477996334) 
context(1477996334) -> context(-1477996334) 
dim(1477996334) -> dim(-1477996334) 
renderer(1477996334) -> renderer(-1477996334) 
state(1477996334) -> state(-1477996334) 
g2d(1477996334) -> g2d(-1477996334) 
at(1477996334) -> at(-1477996334) 
area(1477996334) -> area(-1477996334) 
$r1(1477996334) -> $r1(-1477996334) 
$r2(1477996334) -> $r2(-1477996334) 
$r3(1477996334) -> $r3(-1477996334) 
$r4(1477996334) -> $r4(-1477996334) 
0(-1477996334) -> 0(1413191070) 
this(-1477996334) -> this(1413191070) 
painter(-1477996334) -> painter(1413191070) 
context(-1477996334) -> context(1413191070) 
dim(-1477996334) -> dim(1413191070) 
renderer(-1477996334) -> renderer(1413191070) 
state(-1477996334) -> state(1413191070) 
g2d(-1477996334) -> g2d(1413191070) 
at(-1477996334) -> at(1413191070) 
area(-1477996334) -> area(1413191070) 
$r0(-1477996334) -> $r0(1413191070) 
$r1(-1477996334) -> $r1(1413191070) 
$r2(-1477996334) -> $r2(1413191070) 
$r3(-1477996334) -> $r3(1413191070) 
$r4(-1477996334) -> $r4(1413191070) 
0(1413191070) -> 0(1654622739) 
this(1413191070) -> this(1654622739) 
painter(1413191070) -> painter(1654622739) 
context(1413191070) -> context(1654622739) 
dim(1413191070) -> dim(1654622739) 
state(1413191070) -> state(1654622739) 
g2d(1413191070) -> g2d(1654622739) 
at(1413191070) -> at(1654622739) 
area(1413191070) -> area(1654622739) 
$r0(1413191070) -> renderer(1654622739) 
$r0(1413191070) -> $r0(1654622739) 
$r1(1413191070) -> $r1(1654622739) 
$r2(1413191070) -> $r2(1654622739) 
$r3(1413191070) -> $r3(1654622739) 
$r4(1413191070) -> $r4(1654622739) 
0(1654622739) -> 0(643058506) 
this(1654622739) -> this(643058506) 
painter(1654622739) -> painter(643058506) 
context(1654622739) -> context(643058506) 
dim(1654622739) -> dim(643058506) 
renderer(1654622739) -> renderer(643058506) 
state(1654622739) -> state(643058506) 
g2d(1654622739) -> g2d(643058506) 
at(1654622739) -> at(643058506) 
area(1654622739) -> area(643058506) 
$r0(1654622739) -> $r0(643058506) 
$r1(1654622739) -> $r1(643058506) 
$r2(1654622739) -> $r2(643058506) 
$r3(1654622739) -> $r3(643058506) 
$r4(1654622739) -> $r4(643058506) 
0(643058506) -> 0(-643058506) 
this(643058506) -> this(-643058506) 
painter(643058506) -> painter(-643058506) 
context(643058506) -> context(-643058506) 
dim(643058506) -> dim(-643058506) 
renderer(643058506) -> renderer(-643058506) 
state(643058506) -> state(-643058506) 
g2d(643058506) -> g2d(-643058506) 
at(643058506) -> at(-643058506) 
area(643058506) -> area(-643058506) 
$r0(643058506) -> $r0(-643058506) 
$r2(643058506) -> $r2(-643058506) 
$r3(643058506) -> $r3(-643058506) 
$r4(643058506) -> $r4(-643058506) 
0(-643058506) -> 0(1746598638) 
this(-643058506) -> this(1746598638) 
painter(-643058506) -> painter(1746598638) 
context(-643058506) -> context(1746598638) 
dim(-643058506) -> dim(1746598638) 
renderer(-643058506) -> renderer(1746598638) 
state(-643058506) -> state(1746598638) 
g2d(-643058506) -> g2d(1746598638) 
at(-643058506) -> at(1746598638) 
area(-643058506) -> area(1746598638) 
$r0(-643058506) -> $r0(1746598638) 
$r1(-643058506) -> $r1(1746598638) 
$r2(-643058506) -> $r2(1746598638) 
$r3(-643058506) -> $r3(1746598638) 
$r4(-643058506) -> $r4(1746598638) 
0(1746598638) -> 0(-1746598638) 
this(1746598638) -> this(-1746598638) 
painter(1746598638) -> painter(-1746598638) 
context(1746598638) -> context(-1746598638) 
dim(1746598638) -> dim(-1746598638) 
renderer(1746598638) -> renderer(-1746598638) 
state(1746598638) -> state(-1746598638) 
g2d(1746598638) -> g2d(-1746598638) 
at(1746598638) -> at(-1746598638) 
area(1746598638) -> area(-1746598638) 
$r0(1746598638) -> $r0(-1746598638) 
$r1(1746598638) -> $r1(-1746598638) 
$r3(1746598638) -> $r3(-1746598638) 
$r4(1746598638) -> $r4(-1746598638) 
0(-1746598638) -> 0(1323680375) 
this(-1746598638) -> this(1323680375) 
painter(-1746598638) -> painter(1323680375) 
context(-1746598638) -> context(1323680375) 
dim(-1746598638) -> dim(1323680375) 
renderer(-1746598638) -> renderer(1323680375) 
state(-1746598638) -> state(1323680375) 
g2d(-1746598638) -> g2d(1323680375) 
at(-1746598638) -> at(1323680375) 
area(-1746598638) -> area(1323680375) 
$r0(-1746598638) -> $r0(1323680375) 
$r1(-1746598638) -> $r1(1323680375) 
$r2(-1746598638) -> $r2(1323680375) 
$r3(-1746598638) -> $r3(1323680375) 
$r4(-1746598638) -> $r4(1323680375) 
0(1323680375) -> 0(1580584139) 
this(1323680375) -> this(1580584139) 
painter(1323680375) -> painter(1580584139) 
context(1323680375) -> context(1580584139) 
dim(1323680375) -> dim(1580584139) 
renderer(1323680375) -> renderer(1580584139) 
state(1323680375) -> state(1580584139) 
at(1323680375) -> at(1580584139) 
area(1323680375) -> area(1580584139) 
$r0(1323680375) -> $r0(1580584139) 
$r1(1323680375) -> $r1(1580584139) 
$r2(1323680375) -> g2d(1580584139) 
$r2(1323680375) -> $r2(1580584139) 
$r3(1323680375) -> $r3(1580584139) 
$r4(1323680375) -> $r4(1580584139) 
0(1580584139) -> 0(504910783) 
this(1580584139) -> this(504910783) 
painter(1580584139) -> painter(504910783) 
context(1580584139) -> context(504910783) 
dim(1580584139) -> dim(504910783) 
renderer(1580584139) -> renderer(504910783) 
state(1580584139) -> state(504910783) 
g2d(1580584139) -> g2d(504910783) 
at(1580584139) -> at(504910783) 
area(1580584139) -> area(504910783) 
$r0(1580584139) -> $r0(504910783) 
$r1(1580584139) -> $r1(504910783) 
$r2(1580584139) -> $r2(504910783) 
$r3(1580584139) -> $r3(504910783) 
$r4(1580584139) -> $r4(504910783) 
0(504910783) -> 0(1300202958) 
this(504910783) -> this(1300202958) 
painter(504910783) -> painter(1300202958) 
context(504910783) -> context(1300202958) 
dim(504910783) -> dim(1300202958) 
renderer(504910783) -> renderer(1300202958) 
state(504910783) -> state(1300202958) 
g2d(504910783) -> g2d(1300202958) 
at(504910783) -> at(1300202958) 
area(504910783) -> area(1300202958) 
$r0(504910783) -> $r0(1300202958) 
$r1(504910783) -> $r1(1300202958) 
$r2(504910783) -> $r2(1300202958) 
$r3(504910783) -> $r3(1300202958) 
$r4(504910783) -> $r4(1300202958) 
0(1300202958) -> 0(1865006881) 
this(1300202958) -> this(1865006881) 
painter(1300202958) -> painter(1865006881) 
context(1300202958) -> context(1865006881) 
dim(1300202958) -> dim(1865006881) 
renderer(1300202958) -> renderer(1865006881) 
state(1300202958) -> state(1865006881) 
g2d(1300202958) -> g2d(1865006881) 
at(1300202958) -> at(1865006881) 
area(1300202958) -> area(1865006881) 
$r0(1300202958) -> $r0(1865006881) 
$r1(1300202958) -> $r1(1865006881) 
$r2(1300202958) -> $r2(1865006881) 
$r3(1300202958) -> $r3(1865006881) 
$r4(1300202958) -> $r4(1865006881) 
0(1865006881) -> 0(459473438) 
this(1865006881) -> this(459473438) 
painter(1865006881) -> painter(459473438) 
context(1865006881) -> context(459473438) 
dim(1865006881) -> dim(459473438) 
renderer(1865006881) -> renderer(459473438) 
state(1865006881) -> state(459473438) 
g2d(1865006881) -> g2d(459473438) 
at(1865006881) -> at(459473438) 
area(1865006881) -> area(459473438) 
$r0(1865006881) -> $r0(459473438) 
$r1(1865006881) -> $r1(459473438) 
$r2(1865006881) -> $r2(459473438) 
$r3(1865006881) -> $r3(459473438) 
$r4(1865006881) -> $r4(459473438) 
0(459473438) -> 0(1599996069) 
this(459473438) -> this(1599996069) 
painter(459473438) -> painter(1599996069) 
context(459473438) -> context(1599996069) 
dim(459473438) -> dim(1599996069) 
renderer(459473438) -> renderer(1599996069) 
state(459473438) -> state(1599996069) 
g2d(459473438) -> g2d(1599996069) 
at(459473438) -> at(1599996069) 
area(459473438) -> area(1599996069) 
$r0(459473438) -> $r0(1599996069) 
$r1(459473438) -> $r1(1599996069) 
$r2(459473438) -> $r2(1599996069) 
$r3(459473438) -> $r3(1599996069) 
$r4(459473438) -> $r4(1599996069) 
0(1599996069) -> 0(343703949) 
this(1599996069) -> this(343703949) 
painter(1599996069) -> painter(343703949) 
context(1599996069) -> context(343703949) 
dim(1599996069) -> dim(343703949) 
renderer(1599996069) -> renderer(343703949) 
state(1599996069) -> state(343703949) 
g2d(1599996069) -> g2d(343703949) 
at(1599996069) -> at(343703949) 
area(1599996069) -> area(343703949) 
$r0(1599996069) -> $r0(343703949) 
$r1(1599996069) -> $r1(343703949) 
$r2(1599996069) -> $r2(343703949) 
$r3(1599996069) -> $r3(343703949) 
$r4(1599996069) -> $r4(343703949) 
0(343703949) -> 0(488620422) 
this(343703949) -> this(488620422) 
painter(343703949) -> painter(488620422) 
context(343703949) -> context(488620422) 
dim(343703949) -> dim(488620422) 
renderer(343703949) -> renderer(488620422) 
state(343703949) -> state(488620422) 
g2d(343703949) -> g2d(488620422) 
at(343703949) -> at(488620422) 
area(343703949) -> area(488620422) 
$r0(343703949) -> $r0(488620422) 
$r1(343703949) -> $r1(488620422) 
$r2(343703949) -> $r2(488620422) 
$r3(343703949) -> $r3(488620422) 
$r4(343703949) -> $r4(488620422) 
0(488620422) -> 0(1184252375) 
this(488620422) -> this(1184252375) 
painter(488620422) -> painter(1184252375) 
context(488620422) -> context(1184252375) 
dim(488620422) -> dim(1184252375) 
renderer(488620422) -> renderer(1184252375) 
state(488620422) -> state(1184252375) 
g2d(488620422) -> g2d(1184252375) 
at(488620422) -> at(1184252375) 
area(488620422) -> area(1184252375) 
$r0(488620422) -> $r0(1184252375) 
$r1(488620422) -> $r1(1184252375) 
$r2(488620422) -> $r2(1184252375) 
$r3(488620422) -> $r3(1184252375) 
$r4(488620422) -> $r4(1184252375) 
0(1184252375) -> 0(23174489) 
this(1184252375) -> this(23174489) 
painter(1184252375) -> painter(23174489) 
context(1184252375) -> context(23174489) 
dim(1184252375) -> dim(23174489) 
renderer(1184252375) -> renderer(23174489) 
state(1184252375) -> state(23174489) 
g2d(1184252375) -> g2d(23174489) 
at(1184252375) -> at(23174489) 
area(1184252375) -> area(23174489) 
$r0(1184252375) -> $r0(23174489) 
$r1(1184252375) -> $r1(23174489) 
$r2(1184252375) -> $r2(23174489) 
$r3(1184252375) -> $r3(23174489) 
$r4(1184252375) -> $r4(23174489) 
0(23174489) -> 0(-23174489) 
this(23174489) -> this(-23174489) 
painter(23174489) -> painter(-23174489) 
context(23174489) -> context(-23174489) 
dim(23174489) -> dim(-23174489) 
renderer(23174489) -> renderer(-23174489) 
state(23174489) -> state(-23174489) 
g2d(23174489) -> g2d(-23174489) 
area(23174489) -> area(-23174489) 
$r0(23174489) -> $r0(-23174489) 
$r1(23174489) -> $r1(-23174489) 
$r2(23174489) -> $r2(-23174489) 
$r3(23174489) -> $r3(-23174489) 
$r4(23174489) -> $r4(-23174489) 
0(-23174489) -> 0(52416074) 
this(-23174489) -> this(52416074) 
painter(-23174489) -> painter(52416074) 
context(-23174489) -> context(52416074) 
dim(-23174489) -> dim(52416074) 
renderer(-23174489) -> renderer(52416074) 
state(-23174489) -> state(52416074) 
g2d(-23174489) -> g2d(52416074) 
at(-23174489) -> at(52416074) 
