method: org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm.updateData1:928419850
$r2(2007013540) -> $r2(-2007013540) 
$r3(2007013540) -> $r3(-2007013540) 
0(-2007013540) -> 0(1350923351) 
this(-2007013540) -> this(1350923351) 
$r0(-2007013540) -> $r0(1350923351) 
$r1(-2007013540) -> $r1(1350923351) 
$r2(-2007013540) -> $r2(1350923351) 
$r3(-2007013540) -> $r3(1350923351) 
$r4(-2007013540) -> $r4(1350923351) 
0(1350923351) -> 0(1771644173) 
this(1350923351) -> this(1771644173) 
$r0(1350923351) -> $r0(1771644173) 
$r1(1350923351) -> $r1(1771644173) 
$r2(1350923351) -> $r2(1771644173) 
$r3(1350923351) -> $r3(1771644173) 
$r4(1350923351) -> $r4(1771644173) 
0(1771644173) -> 0(-928419850) 
this(1771644173) -> this(-928419850) 
$r0(1771644173) -> $r0(-928419850) 
$r1(1771644173) -> $r1(-928419850) 
$r2(1771644173) -> $r2(-928419850) 
$r3(1771644173) -> $r3(-928419850) 
$r4(1771644173) -> $r4(-928419850) 
0(1771644173) -> .return(-928419850) 
