method: org.apache.fop.fo.properties.CommonHyphenation.equals:19901025
374506 -> 374518
374507 -> 374519
374508 -> 374520
374509 -> 374521
374510 -> 374522
374511 -> 374523
374512 -> 374524
374513 -> 374525
374514 -> 374526
374515 -> 374527
374516 -> 374528
374517 -> 374529
374518 -> 374530
374519 -> 374531
374520 -> 374532
374521 -> 374533
374522 -> 374534
374523 -> 374535
374524 -> 374344
374525 -> 374345
374526 -> 374346
374527 -> 374347
374528 -> 374348
374529 -> 374349
374530 -> 374350
374531 -> 374351
374532 -> 374352
374533 -> 374353
374534 -> 374354
374535 -> 374355
374524 -> 374536
374525 -> 374537
374526 -> 374538
374527 -> 374539
374528 -> 374540
374529 -> 374541
374530 -> 374542
374531 -> 374543
374532 -> 374544
374533 -> 374545
374534 -> 374546
374535 -> 374547
374536 -> 374548
374537 -> 374549
374538 -> 374550
374539 -> 374551
374540 -> 374552
374541 -> 374553
374542 -> 374554
374543 -> 374555
374544 -> 374556
374545 -> 374557
374546 -> 374558
374547 -> 374559
374548 -> 374560
374549 -> 374561
374550 -> 374562
374551 -> 374563
374552 -> 374564
374553 -> 374565
374554 -> 374566
374555 -> 374567
374556 -> 374568
374557 -> 374569
374558 -> 374570
374559 -> 374571
374560 -> 374344
374561 -> 374345
374562 -> 374346
374563 -> 374347
374564 -> 374348
374565 -> 374349
374566 -> 374350
374567 -> 374351
374568 -> 374352
374569 -> 374353
374570 -> 374354
374571 -> 374355
374560 -> 374572
374561 -> 374573
374562 -> 374574
374563 -> 374575
374564 -> 374576
374565 -> 374577
374566 -> 374578
374567 -> 374579
374568 -> 374580
374569 -> 374581
374570 -> 374582
374571 -> 374583
374572 -> 374584
374573 -> 374585
374574 -> 374586
374575 -> 374587
374576 -> 374588
374577 -> 374589
374578 -> 374590
374579 -> 374591
374580 -> 374592
374581 -> 374593
374582 -> 374594
374583 -> 374595
374584 -> 374596
374585 -> 374597
374586 -> 374598
374587 -> 374599
374588 -> 374600
374589 -> 374601
374590 -> 374602
374591 -> 374603
374592 -> 374604
374593 -> 374605
374594 -> 374606
374595 -> 374607
374344 -> 374596
374345 -> 374597
374346 -> 374598
374347 -> 374599
374348 -> 374600
374349 -> 374601
374350 -> 374602
374351 -> 374603
374352 -> 374604
374353 -> 374605
374354 -> 374606
374355 -> 374607
374596 -> 374259
374597 -> 374260
374598 -> 374261
374599 -> 374262
374600 -> 374263
374601 -> 374264
374602 -> 374265
374603 -> 374266
374604 -> 374267
374605 -> 374268
374606 -> 374269
374607 -> 374270
374596 -> 374271
374284 -> 374259
374285 -> 374260
374286 -> 374261
374287 -> 374262
374288 -> 374263
374289 -> 374264
374290 -> 374265
374291 -> 374266
374292 -> 374267
374293 -> 374268
374294 -> 374269
374295 -> 374270
374284 -> 374271
